88:6B:0F:4A:70:DA    -    SLF-Logger BLE
SerialNr;2005-0070
Project;sangvor
Name;mih
Location;SLF
Longitude;9.847383
Latitude;46.81242
Altitude;3591.0

Logger State;Stopped
Battery Level;72

Start Time;07. 09. 2022  03:32:08
PC Readout Time;22. 09. 2023  07:16:29
Logger Readout Time;22. 09. 2023  07:16:41
Logger to PC Difference;0d 0h 0min 12sec
Interval;1 hour

Offset (already added)[°C];0
Accuracy;0.2°C (Low power usage)

Measurement Count;9124
07.09.2022 03:32:08;11.0
07.09.2022 04:32:08;11.0
07.09.2022 05:32:08;11.2
07.09.2022 06:32:08;13.0
07.09.2022 07:32:08;16.2
07.09.2022 08:32:08;19.4
07.09.2022 09:32:08;21.6
07.09.2022 10:32:08;22.6
07.09.2022 11:32:08;22.2
07.09.2022 12:32:08;21.2
07.09.2022 13:32:08;20.2
07.09.2022 14:32:08;19.4
07.09.2022 15:32:08;18.2
07.09.2022 16:32:08;17.2
07.09.2022 17:32:08;16.4
07.09.2022 18:32:08;15.8
07.09.2022 19:32:08;15.0
07.09.2022 20:32:08;14.4
07.09.2022 21:32:08;13.8
07.09.2022 22:32:08;13.4
07.09.2022 23:32:08;12.8
08.09.2022 00:32:08;12.4
08.09.2022 01:32:08;12.0
08.09.2022 02:32:08;11.6
08.09.2022 03:32:08;11.2
08.09.2022 04:32:08;11.2
08.09.2022 05:32:08;11.6
08.09.2022 06:32:08;13.2
08.09.2022 07:32:08;16.2
08.09.2022 08:32:08;19.4
08.09.2022 09:32:08;21.4
08.09.2022 10:32:08;22.4
08.09.2022 11:32:08;21.8
08.09.2022 12:32:08;21.0
08.09.2022 13:32:08;20.0
08.09.2022 14:32:08;19.0
08.09.2022 15:32:08;17.8
08.09.2022 16:32:08;16.8
08.09.2022 17:32:08;16.0
08.09.2022 18:32:08;15.4
08.09.2022 19:32:08;14.6
08.09.2022 20:32:08;14.0
08.09.2022 21:32:08;13.4
08.09.2022 22:32:08;13.0
08.09.2022 23:32:08;12.4
09.09.2022 00:32:08;12.0
09.09.2022 01:32:08;11.6
09.09.2022 02:32:08;11.2
09.09.2022 03:32:08;10.8
09.09.2022 04:32:08;10.8
09.09.2022 05:32:08;11.2
09.09.2022 06:32:08;12.8
09.09.2022 07:32:08;15.8
09.09.2022 08:32:08;19.0
09.09.2022 09:32:08;21.2
09.09.2022 10:32:08;22.0
09.09.2022 11:32:08;21.6
09.09.2022 12:32:08;20.8
09.09.2022 13:32:08;19.8
09.09.2022 14:32:08;18.8
09.09.2022 15:32:08;17.6
09.09.2022 16:32:08;16.6
09.09.2022 17:32:08;15.8
09.09.2022 18:32:08;15.2
09.09.2022 19:32:08;14.6
09.09.2022 20:32:08;14.0
09.09.2022 21:32:08;13.4
09.09.2022 22:32:08;12.8
09.09.2022 23:32:08;12.4
10.09.2022 00:32:08;12.0
10.09.2022 01:32:08;11.6
10.09.2022 02:32:08;11.2
10.09.2022 03:32:08;10.8
10.09.2022 04:32:08;10.8
10.09.2022 05:32:08;11.0
10.09.2022 06:32:08;12.6
10.09.2022 07:32:08;15.8
10.09.2022 08:32:08;18.8
10.09.2022 09:32:08;21.2
10.09.2022 10:32:08;22.0
10.09.2022 11:32:08;21.4
10.09.2022 12:32:08;20.6
10.09.2022 13:32:08;19.4
10.09.2022 14:32:08;18.4
10.09.2022 15:32:08;17.4
10.09.2022 16:32:08;16.6
10.09.2022 17:32:08;15.8
10.09.2022 18:32:08;15.0
10.09.2022 19:32:08;14.4
10.09.2022 20:32:08;13.8
10.09.2022 21:32:08;13.2
10.09.2022 22:32:08;12.6
10.09.2022 23:32:08;12.2
11.09.2022 00:32:08;11.8
11.09.2022 01:32:08;11.2
11.09.2022 02:32:08;11.0
11.09.2022 03:32:08;10.8
11.09.2022 04:32:08;10.6
11.09.2022 05:32:08;11.0
11.09.2022 06:32:08;12.4
11.09.2022 07:32:08;15.4
11.09.2022 08:32:08;17.8
11.09.2022 09:32:08;20.0
11.09.2022 10:32:08;20.8
11.09.2022 11:32:08;20.4
11.09.2022 12:32:08;19.4
11.09.2022 13:32:08;18.8
11.09.2022 14:32:08;18.0
11.09.2022 15:32:08;16.8
11.09.2022 16:32:08;15.8
11.09.2022 17:32:08;15.2
11.09.2022 18:32:08;14.4
11.09.2022 19:32:08;13.8
11.09.2022 20:32:08;13.0
11.09.2022 21:32:08;12.4
11.09.2022 22:32:08;12.0
11.09.2022 23:32:08;11.6
12.09.2022 00:32:08;11.0
12.09.2022 01:32:08;10.6
12.09.2022 02:32:08;10.2
12.09.2022 03:32:08;9.8
12.09.2022 04:32:08;9.8
12.09.2022 05:32:08;10.2
12.09.2022 06:32:08;11.6
12.09.2022 07:32:08;14.6
12.09.2022 08:32:08;17.6
12.09.2022 09:32:08;19.4
12.09.2022 10:32:08;20.0
12.09.2022 11:32:08;19.6
12.09.2022 12:32:08;18.8
12.09.2022 13:32:08;17.6
12.09.2022 14:32:08;16.6
12.09.2022 15:32:08;15.6
12.09.2022 16:32:08;14.6
12.09.2022 17:32:08;14.0
12.09.2022 18:32:08;13.2
12.09.2022 19:32:08;12.6
12.09.2022 20:32:08;12.0
12.09.2022 21:32:08;11.4
12.09.2022 22:32:08;11.0
12.09.2022 23:32:08;10.4
13.09.2022 00:32:08;10.0
13.09.2022 01:32:08;9.6
13.09.2022 02:32:08;9.2
13.09.2022 03:32:08;9.0
13.09.2022 04:32:08;9.0
13.09.2022 05:32:08;9.2
13.09.2022 06:32:08;10.8
13.09.2022 07:32:08;13.8
13.09.2022 08:32:08;17.2
13.09.2022 09:32:08;19.6
13.09.2022 10:32:08;20.4
13.09.2022 11:32:08;20.0
13.09.2022 12:32:08;19.0
13.09.2022 13:32:08;18.0
13.09.2022 14:32:08;17.0
13.09.2022 15:32:08;16.0
13.09.2022 16:32:08;15.0
13.09.2022 17:32:08;14.4
13.09.2022 18:32:08;13.8
13.09.2022 19:32:08;13.2
13.09.2022 20:32:08;12.6
13.09.2022 21:32:08;12.0
13.09.2022 22:32:08;11.6
13.09.2022 23:32:08;11.2
14.09.2022 00:32:08;10.8
14.09.2022 01:32:08;10.4
14.09.2022 02:32:08;10.0
14.09.2022 03:32:08;9.8
14.09.2022 04:32:08;9.8
14.09.2022 05:32:08;10.0
14.09.2022 06:32:08;11.4
14.09.2022 07:32:08;14.4
14.09.2022 08:32:08;17.6
14.09.2022 09:32:08;19.8
14.09.2022 10:32:08;20.6
14.09.2022 11:32:08;20.2
14.09.2022 12:32:08;19.4
14.09.2022 13:32:08;18.4
14.09.2022 14:32:08;17.4
14.09.2022 15:32:08;16.2
14.09.2022 16:32:08;15.4
14.09.2022 17:32:08;14.6
14.09.2022 18:32:08;14.0
14.09.2022 19:32:08;13.4
14.09.2022 20:32:08;12.8
14.09.2022 21:32:08;12.2
14.09.2022 22:32:08;11.8
14.09.2022 23:32:08;11.4
15.09.2022 00:32:08;10.8
15.09.2022 01:32:08;10.4
15.09.2022 02:32:08;10.2
15.09.2022 03:32:08;9.8
15.09.2022 04:32:08;9.8
15.09.2022 05:32:08;10.2
15.09.2022 06:32:08;11.6
15.09.2022 07:32:08;14.4
15.09.2022 08:32:08;17.6
15.09.2022 09:32:08;19.8
15.09.2022 10:32:08;20.4
15.09.2022 11:32:08;19.8
15.09.2022 12:32:08;19.0
15.09.2022 13:32:08;18.0
15.09.2022 14:32:08;17.0
15.09.2022 15:32:08;15.8
15.09.2022 16:32:08;14.8
15.09.2022 17:32:08;14.0
15.09.2022 18:32:08;13.4
15.09.2022 19:32:08;12.8
15.09.2022 20:32:08;12.2
15.09.2022 21:32:08;11.8
15.09.2022 22:32:08;11.2
15.09.2022 23:32:08;10.8
16.09.2022 00:32:08;10.2
16.09.2022 01:32:08;9.8
16.09.2022 02:32:08;9.6
16.09.2022 03:32:08;9.2
16.09.2022 04:32:08;9.2
16.09.2022 05:32:08;9.6
16.09.2022 06:32:08;10.8
16.09.2022 07:32:08;13.8
16.09.2022 08:32:08;16.8
16.09.2022 09:32:08;18.6
16.09.2022 10:32:08;20.0
16.09.2022 11:32:08;20.0
16.09.2022 12:32:08;19.8
16.09.2022 13:32:08;18.4
16.09.2022 14:32:08;17.0
16.09.2022 15:32:08;15.8
16.09.2022 16:32:08;14.6
16.09.2022 17:32:08;13.8
16.09.2022 18:32:08;13.2
16.09.2022 19:32:08;12.4
16.09.2022 20:32:08;11.8
16.09.2022 21:32:08;11.6
16.09.2022 22:32:08;11.0
16.09.2022 23:32:08;10.6
17.09.2022 00:32:08;10.0
17.09.2022 01:32:08;9.6
17.09.2022 02:32:08;9.2
17.09.2022 03:32:08;9.4
17.09.2022 04:32:08;9.4
17.09.2022 05:32:08;9.6
17.09.2022 06:32:08;10.8
17.09.2022 07:32:08;13.6
17.09.2022 08:32:08;14.8
17.09.2022 09:32:08;16.6
17.09.2022 10:32:08;18.4
17.09.2022 11:32:08;18.6
17.09.2022 12:32:08;18.0
17.09.2022 13:32:08;17.4
17.09.2022 14:32:08;16.4
17.09.2022 15:32:08;15.2
17.09.2022 16:32:08;14.2
17.09.2022 17:32:08;13.2
17.09.2022 18:32:08;12.6
17.09.2022 19:32:08;12.0
17.09.2022 20:32:08;11.4
17.09.2022 21:32:08;11.0
17.09.2022 22:32:08;10.4
17.09.2022 23:32:08;10.0
18.09.2022 00:32:08;9.6
18.09.2022 01:32:08;9.4
18.09.2022 02:32:08;9.0
18.09.2022 03:32:08;8.8
18.09.2022 04:32:08;8.8
18.09.2022 05:32:08;9.0
18.09.2022 06:32:08;10.2
18.09.2022 07:32:08;13.0
18.09.2022 08:32:08;16.0
18.09.2022 09:32:08;17.6
18.09.2022 10:32:08;17.6
18.09.2022 11:32:08;17.6
18.09.2022 12:32:08;17.2
18.09.2022 13:32:08;16.6
18.09.2022 14:32:08;15.6
18.09.2022 15:32:08;14.4
18.09.2022 16:32:08;13.4
18.09.2022 17:32:08;12.6
18.09.2022 18:32:08;12.0
18.09.2022 19:32:08;11.4
18.09.2022 20:32:08;10.8
18.09.2022 21:32:08;10.4
18.09.2022 22:32:08;9.8
18.09.2022 23:32:08;9.4
19.09.2022 00:32:08;9.0
19.09.2022 01:32:08;8.6
19.09.2022 02:32:08;8.4
19.09.2022 03:32:08;8.0
19.09.2022 04:32:08;8.0
19.09.2022 05:32:08;8.4
19.09.2022 06:32:08;9.6
19.09.2022 07:32:08;12.6
19.09.2022 08:32:08;15.8
19.09.2022 09:32:08;18.2
19.09.2022 10:32:08;18.8
19.09.2022 11:32:08;18.4
19.09.2022 12:32:08;17.6
19.09.2022 13:32:08;16.6
19.09.2022 14:32:08;15.4
19.09.2022 15:32:08;14.4
19.09.2022 16:32:08;13.6
19.09.2022 17:32:08;12.8
19.09.2022 18:32:08;12.2
19.09.2022 19:32:08;11.8
19.09.2022 20:32:08;11.2
19.09.2022 21:32:08;10.6
19.09.2022 22:32:08;10.2
19.09.2022 23:32:08;9.8
20.09.2022 00:32:08;9.6
20.09.2022 01:32:08;9.2
20.09.2022 02:32:08;8.8
20.09.2022 03:32:08;8.6
20.09.2022 04:32:08;8.6
20.09.2022 05:32:08;9.0
20.09.2022 06:32:08;10.0
20.09.2022 07:32:08;11.4
20.09.2022 08:32:08;14.6
20.09.2022 09:32:08;16.0
20.09.2022 10:32:08;16.2
20.09.2022 11:32:08;16.2
20.09.2022 12:32:08;16.4
20.09.2022 13:32:08;16.2
20.09.2022 14:32:08;15.0
20.09.2022 15:32:08;14.0
20.09.2022 16:32:08;13.2
20.09.2022 17:32:08;12.6
20.09.2022 18:32:08;12.0
20.09.2022 19:32:08;11.4
20.09.2022 20:32:08;10.8
20.09.2022 21:32:08;10.4
20.09.2022 22:32:08;10.0
20.09.2022 23:32:08;9.6
21.09.2022 00:32:08;9.2
21.09.2022 01:32:08;8.8
21.09.2022 02:32:08;8.6
21.09.2022 03:32:08;8.6
21.09.2022 04:32:08;8.6
21.09.2022 05:32:08;9.2
21.09.2022 06:32:08;10.4
21.09.2022 07:32:08;12.0
21.09.2022 08:32:08;13.6
21.09.2022 09:32:08;15.8
21.09.2022 10:32:08;17.2
21.09.2022 11:32:08;17.2
21.09.2022 12:32:08;16.4
21.09.2022 13:32:08;15.0
21.09.2022 14:32:08;13.8
21.09.2022 15:32:08;12.8
21.09.2022 16:32:08;12.0
21.09.2022 17:32:08;11.2
21.09.2022 18:32:08;10.6
21.09.2022 19:32:08;10.0
21.09.2022 20:32:08;9.6
21.09.2022 21:32:08;9.2
21.09.2022 22:32:08;8.8
21.09.2022 23:32:08;8.4
22.09.2022 00:32:08;8.2
22.09.2022 01:32:08;7.8
22.09.2022 02:32:08;7.6
22.09.2022 03:32:08;7.4
22.09.2022 04:32:08;7.2
22.09.2022 05:32:08;7.6
22.09.2022 06:32:08;8.8
22.09.2022 07:32:08;11.6
22.09.2022 08:32:08;15.0
22.09.2022 09:32:08;17.4
22.09.2022 10:32:08;18.0
22.09.2022 11:32:08;17.4
22.09.2022 12:32:08;16.6
22.09.2022 13:32:08;15.6
22.09.2022 14:32:08;14.6
22.09.2022 15:32:08;13.6
22.09.2022 16:32:08;12.8
22.09.2022 17:32:08;12.2
22.09.2022 18:32:08;11.6
22.09.2022 19:32:08;11.0
22.09.2022 20:32:08;10.4
22.09.2022 21:32:08;10.0
22.09.2022 22:32:08;9.6
22.09.2022 23:32:08;9.2
23.09.2022 00:32:08;8.8
23.09.2022 01:32:08;8.4
23.09.2022 02:32:08;8.0
23.09.2022 03:32:08;7.8
23.09.2022 04:32:08;7.6
23.09.2022 05:32:08;7.8
23.09.2022 06:32:08;9.0
23.09.2022 07:32:08;11.8
23.09.2022 08:32:08;15.2
23.09.2022 09:32:08;17.4
23.09.2022 10:32:08;18.0
23.09.2022 11:32:08;17.4
23.09.2022 12:32:08;16.4
23.09.2022 13:32:08;15.4
