88:6B:0F:4A:71:00    -    SLF-Logger BLE
SerialNr;2005-0071
Project;sangvor
Name;mih
Location;SLF
Longitude;9.847383
Latitude;46.81242
Altitude;3938.0

Logger State;Stopped
Battery Level;72

Start Time;08. 09. 2022  05:33:06
PC Readout Time;22. 09. 2023  03:32:45
Logger Readout Time;22. 09. 2023  03:31:26
Logger to PC Difference;0d 0h 1min 19sec
Interval;1 hour

Offset (already added)[°C];0
Accuracy;0.2°C (Low power usage)

Measurement Count;9094
08.09.2022 05:33:06;8.8
08.09.2022 06:33:06;11.4
08.09.2022 07:33:06;14.4
08.09.2022 08:33:06;17.2
08.09.2022 09:33:06;18.8
08.09.2022 10:33:06;19.8
08.09.2022 11:33:06;20.0
08.09.2022 12:33:06;19.4
08.09.2022 13:33:06;18.2
08.09.2022 14:33:06;16.4
08.09.2022 15:33:06;14.4
08.09.2022 16:33:06;12.8
08.09.2022 17:33:06;11.4
08.09.2022 18:33:06;10.2
08.09.2022 19:33:06;9.2
08.09.2022 20:33:06;8.4
08.09.2022 21:33:06;7.8
08.09.2022 22:33:06;7.0
08.09.2022 23:33:06;6.4
09.09.2022 00:33:06;6.0
09.09.2022 01:33:06;5.4
09.09.2022 02:33:06;5.0
09.09.2022 03:33:06;4.8
09.09.2022 04:33:06;5.8
09.09.2022 05:33:06;8.0
09.09.2022 06:33:06;10.8
09.09.2022 07:33:06;13.8
09.09.2022 08:33:06;16.6
09.09.2022 09:33:06;18.8
09.09.2022 10:33:06;19.8
09.09.2022 11:33:06;19.8
09.09.2022 12:33:06;19.4
09.09.2022 13:33:06;18.2
09.09.2022 14:33:06;16.2
09.09.2022 15:33:06;14.2
09.09.2022 16:33:06;12.6
09.09.2022 17:33:06;11.4
09.09.2022 18:33:06;10.2
09.09.2022 19:33:06;9.2
09.09.2022 20:33:06;8.4
09.09.2022 21:33:06;7.8
09.09.2022 22:33:06;7.0
09.09.2022 23:33:06;6.6
10.09.2022 00:33:06;6.0
10.09.2022 01:33:06;5.4
10.09.2022 02:33:06;5.0
10.09.2022 03:33:06;4.8
10.09.2022 04:33:06;5.8
10.09.2022 05:33:06;8.0
10.09.2022 06:33:06;10.6
10.09.2022 07:33:06;13.6
10.09.2022 08:33:06;16.6
10.09.2022 09:33:06;18.6
10.09.2022 10:33:06;19.6
10.09.2022 11:33:06;19.4
10.09.2022 12:33:06;19.0
10.09.2022 13:33:06;17.6
10.09.2022 14:33:06;15.8
10.09.2022 15:33:06;13.8
10.09.2022 16:33:06;12.2
10.09.2022 17:33:06;11.0
10.09.2022 18:33:06;10.2
10.09.2022 19:33:06;9.2
10.09.2022 20:33:06;8.4
10.09.2022 21:33:06;7.8
10.09.2022 22:33:06;7.0
10.09.2022 23:33:06;6.4
11.09.2022 00:33:06;5.8
11.09.2022 01:33:06;5.2
11.09.2022 02:33:06;4.8
11.09.2022 03:33:06;4.6
11.09.2022 04:33:06;5.6
11.09.2022 05:33:06;7.6
11.09.2022 06:33:06;10.2
11.09.2022 07:33:06;12.8
11.09.2022 08:33:06;14.6
11.09.2022 09:33:06;16.0
11.09.2022 10:33:06;17.0
11.09.2022 11:33:06;17.4
11.09.2022 12:33:06;17.0
11.09.2022 13:33:06;16.0
11.09.2022 14:33:06;14.6
11.09.2022 15:33:06;12.6
11.09.2022 16:33:06;11.4
11.09.2022 17:33:06;10.6
11.09.2022 18:33:06;9.8
11.09.2022 19:33:06;8.8
11.09.2022 20:33:06;8.0
11.09.2022 21:33:06;7.2
11.09.2022 22:33:06;6.6
11.09.2022 23:33:06;6.0
12.09.2022 00:33:06;5.4
12.09.2022 01:33:06;4.8
12.09.2022 02:33:06;4.2
12.09.2022 03:33:06;4.0
12.09.2022 04:33:06;5.0
12.09.2022 05:33:06;7.0
12.09.2022 06:33:06;9.4
12.09.2022 07:33:06;12.2
12.09.2022 08:33:06;14.4
12.09.2022 09:33:06;15.4
12.09.2022 10:33:06;16.0
12.09.2022 11:33:06;15.8
12.09.2022 12:33:06;15.6
12.09.2022 13:33:06;14.6
12.09.2022 14:33:06;13.0
12.09.2022 15:33:06;11.4
12.09.2022 16:33:06;10.0
12.09.2022 17:33:06;9.0
12.09.2022 18:33:06;8.0
12.09.2022 19:33:06;7.2
12.09.2022 20:33:06;6.4
12.09.2022 21:33:06;5.8
12.09.2022 22:33:06;5.0
12.09.2022 23:33:06;4.4
13.09.2022 00:33:06;4.0
13.09.2022 01:33:06;3.4
13.09.2022 02:33:06;3.0
13.09.2022 03:33:06;2.8
13.09.2022 04:33:06;3.6
13.09.2022 05:33:06;6.0
13.09.2022 06:33:06;8.8
13.09.2022 07:33:06;11.8
13.09.2022 08:33:06;14.6
13.09.2022 09:33:06;17.0
13.09.2022 10:33:06;18.4
13.09.2022 11:33:06;18.4
13.09.2022 12:33:06;17.8
13.09.2022 13:33:06;16.4
13.09.2022 14:33:06;14.4
13.09.2022 15:33:06;12.6
13.09.2022 16:33:06;11.0
13.09.2022 17:33:06;9.8
13.09.2022 18:33:06;8.8
13.09.2022 19:33:06;7.8
13.09.2022 20:33:06;7.0
13.09.2022 21:33:06;6.4
13.09.2022 22:33:06;6.0
13.09.2022 23:33:06;5.4
14.09.2022 00:33:06;5.0
14.09.2022 01:33:06;4.4
14.09.2022 02:33:06;4.0
14.09.2022 03:33:06;3.6
14.09.2022 04:33:06;4.6
14.09.2022 05:33:06;6.8
14.09.2022 06:33:06;9.6
14.09.2022 07:33:06;12.6
14.09.2022 08:33:06;15.2
14.09.2022 09:33:06;17.4
14.09.2022 10:33:06;18.2
14.09.2022 11:33:06;18.4
14.09.2022 12:33:06;17.8
14.09.2022 13:33:06;16.2
14.09.2022 14:33:06;14.4
14.09.2022 15:33:06;12.6
14.09.2022 16:33:06;11.2
14.09.2022 17:33:06;10.0
14.09.2022 18:33:06;9.0
14.09.2022 19:33:06;8.2
14.09.2022 20:33:06;7.4
14.09.2022 21:33:06;6.6
14.09.2022 22:33:06;6.0
14.09.2022 23:33:06;5.4
15.09.2022 00:33:06;5.0
15.09.2022 01:33:06;4.4
15.09.2022 02:33:06;4.0
15.09.2022 03:33:06;3.8
15.09.2022 04:33:06;4.8
15.09.2022 05:33:06;6.8
15.09.2022 06:33:06;9.6
15.09.2022 07:33:06;12.6
15.09.2022 08:33:06;14.8
15.09.2022 09:33:06;16.6
15.09.2022 10:33:06;17.4
15.09.2022 11:33:06;17.6
15.09.2022 12:33:06;17.0
15.09.2022 13:33:06;15.2
15.09.2022 14:33:06;13.2
15.09.2022 15:33:06;11.6
15.09.2022 16:33:06;10.2
15.09.2022 17:33:06;9.2
15.09.2022 18:33:06;8.2
15.09.2022 19:33:06;7.4
15.09.2022 20:33:06;6.6
15.09.2022 21:33:06;6.0
15.09.2022 22:33:06;5.4
15.09.2022 23:33:06;4.8
16.09.2022 00:33:06;4.2
16.09.2022 01:33:06;3.8
16.09.2022 02:33:06;3.4
16.09.2022 03:33:06;3.2
16.09.2022 04:33:06;4.0
16.09.2022 05:33:06;6.0
16.09.2022 06:33:06;8.6
16.09.2022 07:33:06;11.4
16.09.2022 08:33:06;12.2
16.09.2022 09:33:06;14.6
16.09.2022 10:33:06;15.6
16.09.2022 11:33:06;16.8
16.09.2022 12:33:06;16.8
16.09.2022 13:33:06;15.0
16.09.2022 14:33:06;12.8
16.09.2022 15:33:06;11.0
16.09.2022 16:33:06;9.6
16.09.2022 17:33:06;8.6
16.09.2022 18:33:06;7.6
16.09.2022 19:33:06;6.8
16.09.2022 20:33:06;6.4
16.09.2022 21:33:06;6.0
16.09.2022 22:33:06;5.4
16.09.2022 23:33:06;5.0
17.09.2022 00:33:06;4.4
17.09.2022 01:33:06;3.8
17.09.2022 02:33:06;3.4
17.09.2022 03:33:06;3.8
17.09.2022 04:33:06;4.4
17.09.2022 05:33:06;6.2
17.09.2022 06:33:06;8.4
17.09.2022 07:33:06;11.2
17.09.2022 08:33:06;13.2
17.09.2022 09:33:06;14.0
17.09.2022 10:33:06;14.8
17.09.2022 11:33:06;16.2
17.09.2022 12:33:06;16.0
17.09.2022 13:33:06;14.4
17.09.2022 14:33:06;12.6
17.09.2022 15:33:06;10.8
17.09.2022 16:33:06;9.4
17.09.2022 17:33:06;8.4
17.09.2022 18:33:06;7.6
17.09.2022 19:33:06;6.8
17.09.2022 20:33:06;6.2
17.09.2022 21:33:06;5.4
17.09.2022 22:33:06;4.8
17.09.2022 23:33:06;4.4
18.09.2022 00:33:06;4.0
18.09.2022 01:33:06;3.6
18.09.2022 02:33:06;3.2
18.09.2022 03:33:06;3.0
18.09.2022 04:33:06;3.8
18.09.2022 05:33:06;5.6
18.09.2022 06:33:06;8.2
18.09.2022 07:33:06;10.8
18.09.2022 08:33:06;13.2
18.09.2022 09:33:06;14.4
18.09.2022 10:33:06;14.0
18.09.2022 11:33:06;13.8
18.09.2022 12:33:06;13.6
18.09.2022 13:33:06;12.6
18.09.2022 14:33:06;11.4
18.09.2022 15:33:06;10.0
18.09.2022 16:33:06;8.8
18.09.2022 17:33:06;7.6
18.09.2022 18:33:06;6.8
18.09.2022 19:33:06;6.0
18.09.2022 20:33:06;5.4
18.09.2022 21:33:06;4.6
18.09.2022 22:33:06;4.0
18.09.2022 23:33:06;3.6
19.09.2022 00:33:06;3.0
19.09.2022 01:33:06;2.6
19.09.2022 02:33:06;2.2
19.09.2022 03:33:06;2.0
19.09.2022 04:33:06;2.8
19.09.2022 05:33:06;5.0
19.09.2022 06:33:06;7.8
19.09.2022 07:33:06;10.6
19.09.2022 08:33:06;13.0
19.09.2022 09:33:06;14.6
19.09.2022 10:33:06;16.0
19.09.2022 11:33:06;16.4
19.09.2022 12:33:06;16.0
19.09.2022 13:33:06;13.6
19.09.2022 14:33:06;11.8
19.09.2022 15:33:06;10.2
19.09.2022 16:33:06;9.0
19.09.2022 17:33:06;7.8
19.09.2022 18:33:06;7.0
19.09.2022 19:33:06;6.2
19.09.2022 20:33:06;5.4
19.09.2022 21:33:06;4.8
19.09.2022 22:33:06;4.2
19.09.2022 23:33:06;3.8
20.09.2022 00:33:06;3.4
20.09.2022 01:33:06;3.0
20.09.2022 02:33:06;2.6
20.09.2022 03:33:06;2.6
20.09.2022 04:33:06;3.4
20.09.2022 05:33:06;5.4
20.09.2022 06:33:06;7.2
20.09.2022 07:33:06;8.6
20.09.2022 08:33:06;11.4
20.09.2022 09:33:06;13.0
20.09.2022 10:33:06;13.0
20.09.2022 11:33:06;13.2
20.09.2022 12:33:06;14.0
20.09.2022 13:33:06;12.6
20.09.2022 14:33:06;10.8
20.09.2022 15:33:06;9.6
20.09.2022 16:33:06;8.8
20.09.2022 17:33:06;7.8
20.09.2022 18:33:06;6.8
20.09.2022 19:33:06;6.0
20.09.2022 20:33:06;5.2
20.09.2022 21:33:06;4.8
20.09.2022 22:33:06;4.2
20.09.2022 23:33:06;3.8
21.09.2022 00:33:06;3.4
21.09.2022 01:33:06;3.0
21.09.2022 02:33:06;2.6
21.09.2022 03:33:06;2.8
21.09.2022 04:33:06;3.4
21.09.2022 05:33:06;5.2
21.09.2022 06:33:06;7.0
21.09.2022 07:33:06;8.0
21.09.2022 08:33:06;10.2
21.09.2022 09:33:06;12.8
21.09.2022 10:33:06;14.8
21.09.2022 11:33:06;15.0
21.09.2022 12:33:06;13.4
21.09.2022 13:33:06;11.4
21.09.2022 14:33:06;9.8
21.09.2022 15:33:06;8.4
21.09.2022 16:33:06;7.2
21.09.2022 17:33:06;6.2
21.09.2022 18:33:06;5.4
21.09.2022 19:33:06;4.8
21.09.2022 20:33:06;4.2
21.09.2022 21:33:06;3.6
21.09.2022 22:33:06;3.2
21.09.2022 23:33:06;2.6
22.09.2022 00:33:06;2.2
22.09.2022 01:33:06;1.8
22.09.2022 02:33:06;1.6
22.09.2022 03:33:06;1.4
22.09.2022 04:33:06;2.2
22.09.2022 05:33:06;4.4
22.09.2022 06:33:06;7.0
22.09.2022 07:33:06;10.0
22.09.2022 08:33:06;12.4
22.09.2022 09:33:06;14.4
22.09.2022 10:33:06;15.6
22.09.2022 11:33:06;16.0
22.09.2022 12:33:06;15.4
22.09.2022 13:33:06;12.8
22.09.2022 14:33:06;10.8
22.09.2022 15:33:06;9.4
22.09.2022 16:33:06;8.2
22.09.2022 17:33:06;7.0
22.09.2022 18:33:06;6.2
22.09.2022 19:33:06;5.4
22.09.2022 20:33:06;4.8
22.09.2022 21:33:06;4.2
22.09.2022 22:33:06;3.6
22.09.2022 23:33:06;3.2
23.09.2022 00:33:06;2.6
23.09.2022 01:33:06;2.2
23.09.2022 02:33:06;1.8
23.09.2022 03:33:06;1.6
23.09.2022 04:33:06;2.2
23.09.2022 05:33:06;4.4
23.09.2022 06:33:06;7.2
23.09.2022 07:33:06;10.2
23.09.2022 08:33:06;12.8
23.09.2022 09:33:06;14.4
23.09.2022 10:33:06;15.2
23.09.2022 11:33:06;15.4
23.09.2022 12:33:06;14.8
23.09.2022 13:33:06;12.4
23.09.2022 14:33:06;10.6
23.09.2022 15:33:06;9.2
23.09.2022 16:33:06;8.0
23.09.2022 17:33:06;7.0
23.09.2022 18:33:06;6.2
23.09.2022 19:33:06;5.4
23.09.2022 20:33:06;4.8
23.09.2022 21:33:06;4.0
23.09.2022 22:33:06;3.4
23.09.2022 23:33:06;3.0
24.09.2022 00:33:06;2.4
24.09.2022 01:33:06;2.0
24.09.2022 02:33:06;1.6
24.09.2022 03:33:06;1.4
24.09.2022 04:33:06;2.2
24.09.2022 05:33:06;4.2
24.09.2022 06:33:06;6.8
24.09.2022 07:33:06;9.8
24.09.2022 08:33:06;12.2
24.09.2022 09:33:06;14.0
24.09.2022 10:33:06;15.4
24.09.2022 11:33:06;15.8
24.09.2022 12:33:06;15.2
24.09.2022 13:33:06;12.6
24.09.2022 14:33:06;10.4
24.09.2022 15:33:06;9.0
