88:6B:0F:4A:70:E2    -    SLF-Logger BLE
SerialNr;2005-0077
Project;sangvor
Name;mih
Location;SLF
Longitude;9.847383
Latitude;46.81242
Altitude;3942.0

Logger State;Stopped
Battery Level;64

Start Time;22. 09. 2023  04:00:37
PC Readout Time;25. 06. 2023  01:13:41
Logger Readout Time;05. 09. 2024  04:43:09
Logger to PC Difference;438d 3h 29min 28sec
Interval;1 hour

Offset (already added)[°C];0
Accuracy;0.2°C (Low power usage)

Measurement Count;8377
22.09.2023 04:00:37;0.8
22.09.2023 05:00:37;1.2
22.09.2023 06:00:37;1.4
22.09.2023 07:00:37;3.0
22.09.2023 08:00:37;5.0
22.09.2023 09:00:37;6.4
22.09.2023 10:00:37;6.6
22.09.2023 11:00:37;7.6
22.09.2023 12:00:37;8.4
22.09.2023 13:00:37;8.6
22.09.2023 14:00:37;7.6
22.09.2023 15:00:37;6.6
22.09.2023 16:00:37;5.8
22.09.2023 17:00:37;5.2
22.09.2023 18:00:37;4.6
22.09.2023 19:00:37;4.2
22.09.2023 20:00:37;3.6
22.09.2023 21:00:37;3.2
22.09.2023 22:00:37;2.8
22.09.2023 23:00:37;2.2
23.09.2023 00:00:37;1.8
23.09.2023 01:00:37;1.6
23.09.2023 02:00:37;1.2
23.09.2023 03:00:37;0.8
23.09.2023 04:00:37;0.6
23.09.2023 05:00:37;0.6
23.09.2023 06:00:37;1.0
23.09.2023 07:00:37;3.0
23.09.2023 08:00:37;5.4
23.09.2023 09:00:37;7.6
23.09.2023 10:00:37;9.4
23.09.2023 11:00:37;10.6
23.09.2023 12:00:37;11.2
23.09.2023 13:00:37;10.6
23.09.2023 14:00:37;9.6
23.09.2023 15:00:37;8.2
23.09.2023 16:00:37;7.4
23.09.2023 17:00:37;6.6
23.09.2023 18:00:37;5.8
23.09.2023 19:00:37;5.2
23.09.2023 20:00:37;4.6
23.09.2023 21:00:37;4.2
23.09.2023 22:00:37;3.8
23.09.2023 23:00:37;3.4
24.09.2023 00:00:37;3.0
24.09.2023 01:00:37;2.6
24.09.2023 02:00:37;2.2
24.09.2023 03:00:37;1.8
24.09.2023 04:00:37;1.6
24.09.2023 05:00:37;1.6
24.09.2023 06:00:37;2.0
24.09.2023 07:00:37;3.8
24.09.2023 08:00:37;6.2
24.09.2023 09:00:37;8.4
24.09.2023 10:00:37;10.2
24.09.2023 11:00:37;11.4
24.09.2023 12:00:37;10.2
24.09.2023 13:00:37;9.6
24.09.2023 14:00:37;8.8
24.09.2023 15:00:37;7.8
24.09.2023 16:00:37;7.2
24.09.2023 17:00:37;6.6
24.09.2023 18:00:37;6.0
24.09.2023 19:00:37;5.4
24.09.2023 20:00:37;5.0
24.09.2023 21:00:37;4.6
24.09.2023 22:00:37;4.4
24.09.2023 23:00:37;4.2
25.09.2023 00:00:37;4.0
25.09.2023 01:00:37;3.6
25.09.2023 02:00:37;3.4
25.09.2023 03:00:37;3.4
25.09.2023 04:00:37;3.2
25.09.2023 05:00:37;3.2
25.09.2023 06:00:37;3.4
25.09.2023 07:00:37;4.0
25.09.2023 08:00:37;4.6
25.09.2023 09:00:37;4.8
25.09.2023 10:00:37;5.0
25.09.2023 11:00:37;5.0
25.09.2023 12:00:37;5.0
25.09.2023 13:00:37;4.8
25.09.2023 14:00:37;4.4
25.09.2023 15:00:37;4.0
25.09.2023 16:00:37;3.8
25.09.2023 17:00:37;3.6
25.09.2023 18:00:37;3.4
25.09.2023 19:00:37;3.2
25.09.2023 20:00:37;3.0
25.09.2023 21:00:37;2.8
25.09.2023 22:00:37;2.6
25.09.2023 23:00:37;2.4
26.09.2023 00:00:37;2.2
26.09.2023 01:00:37;1.6
26.09.2023 02:00:37;1.2
26.09.2023 03:00:37;0.8
26.09.2023 04:00:37;0.6
26.09.2023 05:00:37;0.6
26.09.2023 06:00:37;1.0
26.09.2023 07:00:37;2.8
26.09.2023 08:00:37;5.4
26.09.2023 09:00:37;7.4
26.09.2023 10:00:37;9.0
26.09.2023 11:00:37;10.4
26.09.2023 12:00:37;10.6
26.09.2023 13:00:37;9.6
26.09.2023 14:00:37;8.4
26.09.2023 15:00:37;7.4
26.09.2023 16:00:37;6.6
26.09.2023 17:00:37;5.8
26.09.2023 18:00:37;5.2
26.09.2023 19:00:37;4.8
26.09.2023 20:00:37;4.2
26.09.2023 21:00:37;3.8
26.09.2023 22:00:37;3.4
26.09.2023 23:00:37;3.0
27.09.2023 00:00:37;2.6
27.09.2023 01:00:37;2.2
27.09.2023 02:00:37;1.8
27.09.2023 03:00:37;1.4
27.09.2023 04:00:37;1.2
27.09.2023 05:00:37;1.0
27.09.2023 06:00:37;1.6
27.09.2023 07:00:37;3.2
27.09.2023 08:00:37;5.4
27.09.2023 09:00:37;7.4
27.09.2023 10:00:37;8.8
27.09.2023 11:00:37;9.6
27.09.2023 12:00:37;9.8
27.09.2023 13:00:37;9.0
27.09.2023 14:00:37;7.8
27.09.2023 15:00:37;7.0
27.09.2023 16:00:37;6.4
27.09.2023 17:00:37;6.0
27.09.2023 18:00:37;5.4
27.09.2023 19:00:37;5.0
27.09.2023 20:00:37;4.6
27.09.2023 21:00:37;4.2
27.09.2023 22:00:37;3.8
27.09.2023 23:00:37;3.6
28.09.2023 00:00:37;3.4
28.09.2023 01:00:37;3.4
28.09.2023 02:00:37;3.2
28.09.2023 03:00:37;3.0
28.09.2023 04:00:37;2.8
28.09.2023 05:00:37;2.8
28.09.2023 06:00:37;2.8
28.09.2023 07:00:37;2.8
28.09.2023 08:00:37;2.2
28.09.2023 09:00:37;2.0
28.09.2023 10:00:37;1.6
28.09.2023 11:00:37;1.6
28.09.2023 12:00:37;1.8
28.09.2023 13:00:37;1.8
28.09.2023 14:00:37;1.6
28.09.2023 15:00:37;1.6
28.09.2023 16:00:37;1.6
28.09.2023 17:00:37;1.6
28.09.2023 18:00:37;1.4
28.09.2023 19:00:37;1.4
28.09.2023 20:00:37;1.2
28.09.2023 21:00:37;1.2
28.09.2023 22:00:37;1.0
28.09.2023 23:00:37;1.0
29.09.2023 00:00:37;1.0
29.09.2023 01:00:37;0.8
29.09.2023 02:00:37;0.8
29.09.2023 03:00:37;0.8
29.09.2023 04:00:37;0.8
29.09.2023 05:00:37;0.8
29.09.2023 06:00:37;0.8
29.09.2023 07:00:37;0.8
29.09.2023 08:00:37;0.8
29.09.2023 09:00:37;0.8
29.09.2023 10:00:37;0.8
29.09.2023 11:00:37;0.8
29.09.2023 12:00:37;0.8
29.09.2023 13:00:37;0.8
29.09.2023 14:00:37;0.8
29.09.2023 15:00:37;0.8
29.09.2023 16:00:37;0.6
29.09.2023 17:00:37;0.6
29.09.2023 18:00:37;0.6
29.09.2023 19:00:37;0.4
29.09.2023 20:00:37;0.4
29.09.2023 21:00:37;0.4
29.09.2023 22:00:37;0.4
29.09.2023 23:00:37;0.4
30.09.2023 00:00:37;0.4
30.09.2023 01:00:37;0.4
30.09.2023 02:00:37;0.4
30.09.2023 03:00:37;0.4
30.09.2023 04:00:37;0.4
30.09.2023 05:00:37;0.4
30.09.2023 06:00:37;0.4
30.09.2023 07:00:37;0.4
30.09.2023 08:00:37;0.4
30.09.2023 09:00:37;0.4
30.09.2023 10:00:37;0.4
30.09.2023 11:00:37;0.4
30.09.2023 12:00:37;0.4
30.09.2023 13:00:37;0.4
30.09.2023 14:00:37;0.4
30.09.2023 15:00:37;0.4
30.09.2023 16:00:37;0.4
30.09.2023 17:00:37;0.4
30.09.2023 18:00:37;0.4
30.09.2023 19:00:37;0.2
30.09.2023 20:00:37;0.2
30.09.2023 21:00:37;0.2
30.09.2023 22:00:37;0.2
30.09.2023 23:00:37;0.0
01.10.2023 00:00:37;0.0
01.10.2023 01:00:37;0.0
01.10.2023 02:00:37;0.0
01.10.2023 03:00:37;0.0
01.10.2023 04:00:37;-0.2
01.10.2023 05:00:37;-0.2
01.10.2023 06:00:37;-0.2
01.10.2023 07:00:37;0.0
01.10.2023 08:00:37;0.0
01.10.2023 09:00:37;0.0
01.10.2023 10:00:37;0.2
01.10.2023 11:00:37;3.4
01.10.2023 12:00:37;4.2
01.10.2023 13:00:37;3.2
01.10.2023 14:00:37;2.4
01.10.2023 15:00:37;1.6
01.10.2023 16:00:37;1.0
01.10.2023 17:00:37;0.6
01.10.2023 18:00:37;0.4
01.10.2023 19:00:37;0.2
01.10.2023 20:00:37;0.2
01.10.2023 21:00:37;0.2
01.10.2023 22:00:37;0.0
01.10.2023 23:00:37;0.0
02.10.2023 00:00:37;0.0
02.10.2023 01:00:37;0.0
02.10.2023 02:00:37;0.0
02.10.2023 03:00:37;0.0
02.10.2023 04:00:37;0.0
02.10.2023 05:00:37;0.0
02.10.2023 06:00:37;0.0
02.10.2023 07:00:37;0.0
02.10.2023 08:00:37;0.4
02.10.2023 09:00:37;2.4
02.10.2023 10:00:37;3.4
02.10.2023 11:00:37;4.4
02.10.2023 12:00:37;4.6
02.10.2023 13:00:37;3.8
02.10.2023 14:00:37;3.0
02.10.2023 15:00:37;2.4
02.10.2023 16:00:37;1.8
02.10.2023 17:00:37;1.4
02.10.2023 18:00:37;1.0
02.10.2023 19:00:37;0.6
02.10.2023 20:00:37;0.4
02.10.2023 21:00:37;0.4
02.10.2023 22:00:37;0.2
02.10.2023 23:00:37;0.0
03.10.2023 00:00:37;0.0
03.10.2023 01:00:37;0.0
03.10.2023 02:00:37;-0.2
03.10.2023 03:00:37;-0.2
03.10.2023 04:00:37;-0.2
03.10.2023 05:00:37;-0.4
03.10.2023 06:00:37;-0.2
03.10.2023 07:00:37;0.0
03.10.2023 08:00:37;0.8
03.10.2023 09:00:37;3.8
03.10.2023 10:00:37;5.4
03.10.2023 11:00:37;5.0
03.10.2023 12:00:37;4.2
03.10.2023 13:00:37;3.4
03.10.2023 14:00:37;2.8
03.10.2023 15:00:37;2.2
03.10.2023 16:00:37;2.0
03.10.2023 17:00:37;1.8
03.10.2023 18:00:37;1.6
03.10.2023 19:00:37;1.4
03.10.2023 20:00:37;1.0
03.10.2023 21:00:37;0.6
03.10.2023 22:00:37;0.4
03.10.2023 23:00:37;0.2
04.10.2023 00:00:37;0.2
04.10.2023 01:00:37;0.0
04.10.2023 02:00:37;0.0
04.10.2023 03:00:37;0.0
04.10.2023 04:00:37;-0.2
04.10.2023 05:00:37;-0.2
04.10.2023 06:00:37;0.0
04.10.2023 07:00:37;0.0
04.10.2023 08:00:37;0.0
04.10.2023 09:00:37;3.0
04.10.2023 10:00:37;4.0
04.10.2023 11:00:37;4.6
04.10.2023 12:00:37;4.8
04.10.2023 13:00:37;3.8
04.10.2023 14:00:37;3.0
04.10.2023 15:00:37;2.6
04.10.2023 16:00:37;2.2
04.10.2023 17:00:37;1.8
04.10.2023 18:00:37;1.6
04.10.2023 19:00:37;1.4
04.10.2023 20:00:37;1.0
04.10.2023 21:00:37;0.8
04.10.2023 22:00:37;0.8
04.10.2023 23:00:37;0.6
05.10.2023 00:00:37;0.4
05.10.2023 01:00:37;0.4
05.10.2023 02:00:37;0.2
05.10.2023 03:00:37;0.2
05.10.2023 04:00:37;0.0
05.10.2023 05:00:37;0.0
05.10.2023 06:00:37;0.0
05.10.2023 07:00:37;1.2
05.10.2023 08:00:37;3.4
05.10.2023 09:00:37;5.8
05.10.2023 10:00:37;8.0
05.10.2023 11:00:37;9.2
05.10.2023 12:00:37;8.0
05.10.2023 13:00:37;6.6
05.10.2023 14:00:37;5.8
05.10.2023 15:00:37;5.2
05.10.2023 16:00:37;4.4
05.10.2023 17:00:37;3.8
05.10.2023 18:00:37;3.4
05.10.2023 19:00:37;3.0
05.10.2023 20:00:37;2.4
05.10.2023 21:00:37;2.2
05.10.2023 22:00:37;2.2
05.10.2023 23:00:37;2.0
06.10.2023 00:00:37;1.8
06.10.2023 01:00:37;1.6
06.10.2023 02:00:37;1.6
06.10.2023 03:00:37;1.4
06.10.2023 04:00:37;1.2
06.10.2023 05:00:37;1.2
06.10.2023 06:00:37;1.6
06.10.2023 07:00:37;2.6
06.10.2023 08:00:37;3.2
06.10.2023 09:00:37;3.0
06.10.2023 10:00:37;2.0
06.10.2023 11:00:37;1.6
06.10.2023 12:00:37;1.4
06.10.2023 13:00:37;1.4
06.10.2023 14:00:37;1.4
06.10.2023 15:00:37;1.4
06.10.2023 16:00:37;1.2
06.10.2023 17:00:37;1.2
06.10.2023 18:00:37;1.2
06.10.2023 19:00:37;1.0
06.10.2023 20:00:37;1.0
06.10.2023 21:00:37;1.0
06.10.2023 22:00:37;1.0
06.10.2023 23:00:37;1.0
07.10.2023 00:00:37;0.8
07.10.2023 01:00:37;0.8
07.10.2023 02:00:37;0.8
07.10.2023 03:00:37;0.8
07.10.2023 04:00:37;0.6
07.10.2023 05:00:37;0.6
07.10.2023 06:00:37;0.6
07.10.2023 07:00:37;0.6
07.10.2023 08:00:37;0.6
07.10.2023 09:00:37;0.6
07.10.2023 10:00:37;0.8
07.10.2023 11:00:37;2.2
07.10.2023 12:00:37;3.0
07.10.2023 13:00:37;2.8
07.10.2023 14:00:37;2.4
07.10.2023 15:00:37;2.0
07.10.2023 16:00:37;1.4
07.10.2023 17:00:37;1.0
07.10.2023 18:00:37;0.8
07.10.2023 19:00:37;0.6
07.10.2023 20:00:37;0.4
07.10.2023 21:00:37;0.4
07.10.2023 22:00:37;0.2
07.10.2023 23:00:37;0.2
08.10.2023 00:00:37;0.0
08.10.2023 01:00:37;0.0
08.10.2023 02:00:37;0.0
08.10.2023 03:00:37;-0.2
08.10.2023 04:00:37;-0.2
08.10.2023 05:00:37;-0.2
08.10.2023 06:00:37;-0.2
08.10.2023 07:00:37;0.0
08.10.2023 08:00:37;0.2
08.10.2023 09:00:37;3.6
08.10.2023 10:00:37;5.4
08.10.2023 11:00:37;6.8
08.10.2023 12:00:37;6.0
08.10.2023 13:00:37;4.8
