88:6B:0F:4A:70:F9    -    SLF-Logger BLE
SerialNr;2005-0079
Project;sangvor
Name;mih
Location;SLF
Longitude;9.847383
Latitude;46.81242
Altitude;2431.0

Logger State;Stopped
Battery Level;81

Start Time;25. 09. 2021  06:17:26
PC Readout Time;05. 09. 2022  15:24:09
Logger Readout Time;05. 09. 2022  15:22:52
Logger to PC Difference;0d 0h 1min 17sec
Interval;1 hour

Offset (already added)[°C];0
Accuracy;0.2°C (Low power usage)

Measurement Count;8290
25.09.2021 06:17:26;23.2
25.09.2021 07:17:26;16.0
25.09.2021 08:17:26;17.8
25.09.2021 09:17:26;20.0
25.09.2021 10:17:26;21.0
25.09.2021 11:17:26;20.4
25.09.2021 12:17:26;19.6
25.09.2021 13:17:26;19.0
25.09.2021 14:17:26;18.0
25.09.2021 15:17:26;17.0
25.09.2021 16:17:26;16.0
25.09.2021 17:17:26;15.2
25.09.2021 18:17:26;14.6
25.09.2021 19:17:26;13.8
25.09.2021 20:17:26;13.2
25.09.2021 21:17:26;12.6
25.09.2021 22:17:26;12.2
25.09.2021 23:17:26;11.6
26.09.2021 00:17:26;11.4
26.09.2021 01:17:26;11.0
26.09.2021 02:17:26;10.6
26.09.2021 03:17:26;10.4
26.09.2021 04:17:26;10.0
26.09.2021 05:17:26;10.2
26.09.2021 06:17:26;11.4
26.09.2021 07:17:26;13.8
26.09.2021 08:17:26;16.6
26.09.2021 09:17:26;19.4
26.09.2021 10:17:26;20.6
26.09.2021 11:17:26;20.4
26.09.2021 12:17:26;19.4
26.09.2021 13:17:26;18.8
26.09.2021 14:17:26;17.8
26.09.2021 15:17:26;16.8
26.09.2021 16:17:26;16.0
26.09.2021 17:17:26;15.2
26.09.2021 18:17:26;14.6
26.09.2021 19:17:26;14.0
26.09.2021 20:17:26;13.4
26.09.2021 21:17:26;13.0
26.09.2021 22:17:26;12.6
26.09.2021 23:17:26;12.0
27.09.2021 00:17:26;11.6
27.09.2021 01:17:26;11.0
27.09.2021 02:17:26;10.8
27.09.2021 03:17:26;10.4
27.09.2021 04:17:26;10.0
27.09.2021 05:17:26;10.0
27.09.2021 06:17:26;11.0
27.09.2021 07:17:26;13.4
27.09.2021 08:17:26;16.2
27.09.2021 09:17:26;18.6
27.09.2021 10:17:26;19.8
27.09.2021 11:17:26;19.6
27.09.2021 12:17:26;18.8
27.09.2021 13:17:26;18.2
27.09.2021 14:17:26;17.4
27.09.2021 15:17:26;16.4
27.09.2021 16:17:26;15.6
27.09.2021 17:17:26;14.8
27.09.2021 18:17:26;14.2
27.09.2021 19:17:26;13.6
27.09.2021 20:17:26;13.2
27.09.2021 21:17:26;12.6
27.09.2021 22:17:26;12.0
27.09.2021 23:17:26;11.6
28.09.2021 00:17:26;11.2
28.09.2021 01:17:26;10.8
28.09.2021 02:17:26;10.4
28.09.2021 03:17:26;10.2
28.09.2021 04:17:26;10.0
28.09.2021 05:17:26;10.0
28.09.2021 06:17:26;11.0
28.09.2021 07:17:26;13.4
28.09.2021 08:17:26;16.2
28.09.2021 09:17:26;18.8
28.09.2021 10:17:26;20.0
28.09.2021 11:17:26;19.8
28.09.2021 12:17:26;19.0
28.09.2021 13:17:26;18.4
28.09.2021 14:17:26;17.6
28.09.2021 15:17:26;16.8
28.09.2021 16:17:26;15.8
28.09.2021 17:17:26;15.2
28.09.2021 18:17:26;14.6
28.09.2021 19:17:26;14.0
28.09.2021 20:17:26;13.4
28.09.2021 21:17:26;13.0
28.09.2021 22:17:26;12.4
28.09.2021 23:17:26;12.0
29.09.2021 00:17:26;11.4
29.09.2021 01:17:26;11.2
29.09.2021 02:17:26;10.8
29.09.2021 03:17:26;10.6
29.09.2021 04:17:26;10.4
29.09.2021 05:17:26;10.4
29.09.2021 06:17:26;11.2
29.09.2021 07:17:26;13.4
29.09.2021 08:17:26;16.0
29.09.2021 09:17:26;18.2
29.09.2021 10:17:26;19.4
29.09.2021 11:17:26;19.4
29.09.2021 12:17:26;18.8
29.09.2021 13:17:26;18.2
29.09.2021 14:17:26;17.6
29.09.2021 15:17:26;16.8
29.09.2021 16:17:26;16.0
29.09.2021 17:17:26;15.4
29.09.2021 18:17:26;14.6
29.09.2021 19:17:26;14.0
29.09.2021 20:17:26;13.4
29.09.2021 21:17:26;13.0
29.09.2021 22:17:26;12.4
29.09.2021 23:17:26;12.0
30.09.2021 00:17:26;11.6
30.09.2021 01:17:26;11.2
30.09.2021 02:17:26;10.8
30.09.2021 03:17:26;10.6
30.09.2021 04:17:26;10.4
30.09.2021 05:17:26;10.6
30.09.2021 06:17:26;11.2
30.09.2021 07:17:26;13.0
30.09.2021 08:17:26;15.8
30.09.2021 09:17:26;18.6
30.09.2021 10:17:26;19.8
30.09.2021 11:17:26;19.6
30.09.2021 12:17:26;19.0
30.09.2021 13:17:26;18.4
30.09.2021 14:17:26;17.8
30.09.2021 15:17:26;17.0
30.09.2021 16:17:26;16.2
30.09.2021 17:17:26;15.6
30.09.2021 18:17:26;15.0
30.09.2021 19:17:26;14.4
30.09.2021 20:17:26;13.8
30.09.2021 21:17:26;13.2
30.09.2021 22:17:26;12.8
30.09.2021 23:17:26;12.6
01.10.2021 00:17:26;12.4
01.10.2021 01:17:26;12.4
01.10.2021 02:17:26;12.2
01.10.2021 03:17:26;12.0
01.10.2021 04:17:26;12.2
01.10.2021 05:17:26;12.6
01.10.2021 06:17:26;13.4
01.10.2021 07:17:26;14.6
01.10.2021 08:17:26;15.8
01.10.2021 09:17:26;16.8
01.10.2021 10:17:26;17.0
01.10.2021 11:17:26;16.8
01.10.2021 12:17:26;16.6
01.10.2021 13:17:26;16.4
01.10.2021 14:17:26;16.0
01.10.2021 15:17:26;15.8
01.10.2021 16:17:26;15.4
01.10.2021 17:17:26;15.0
01.10.2021 18:17:26;14.8
01.10.2021 19:17:26;14.4
01.10.2021 20:17:26;14.2
01.10.2021 21:17:26;13.8
01.10.2021 22:17:26;13.6
01.10.2021 23:17:26;13.4
02.10.2021 00:17:26;13.2
02.10.2021 01:17:26;12.8
02.10.2021 02:17:26;12.6
02.10.2021 03:17:26;12.6
02.10.2021 04:17:26;12.4
02.10.2021 05:17:26;12.6
02.10.2021 06:17:26;13.0
02.10.2021 07:17:26;13.4
02.10.2021 08:17:26;13.8
02.10.2021 09:17:26;14.2
02.10.2021 10:17:26;14.4
02.10.2021 11:17:26;14.4
02.10.2021 12:17:26;14.2
02.10.2021 13:17:26;14.2
02.10.2021 14:17:26;13.8
02.10.2021 15:17:26;13.6
02.10.2021 16:17:26;13.2
02.10.2021 17:17:26;12.6
02.10.2021 18:17:26;12.0
02.10.2021 19:17:26;11.6
02.10.2021 20:17:26;11.2
02.10.2021 21:17:26;11.0
02.10.2021 22:17:26;10.8
02.10.2021 23:17:26;10.8
03.10.2021 00:17:26;10.6
03.10.2021 01:17:26;10.4
03.10.2021 02:17:26;10.2
03.10.2021 03:17:26;10.2
03.10.2021 04:17:26;10.2
03.10.2021 05:17:26;10.6
03.10.2021 06:17:26;11.4
03.10.2021 07:17:26;13.0
03.10.2021 08:17:26;14.2
03.10.2021 09:17:26;14.8
03.10.2021 10:17:26;15.2
03.10.2021 11:17:26;15.2
03.10.2021 12:17:26;15.2
03.10.2021 13:17:26;14.8
03.10.2021 14:17:26;14.4
03.10.2021 15:17:26;13.8
03.10.2021 16:17:26;13.2
03.10.2021 17:17:26;12.8
03.10.2021 18:17:26;12.6
03.10.2021 19:17:26;12.2
03.10.2021 20:17:26;11.8
03.10.2021 21:17:26;11.6
03.10.2021 22:17:26;11.4
03.10.2021 23:17:26;11.0
04.10.2021 00:17:26;10.8
04.10.2021 01:17:26;10.8
04.10.2021 02:17:26;10.4
04.10.2021 03:17:26;10.2
04.10.2021 04:17:26;10.4
04.10.2021 05:17:26;10.6
04.10.2021 06:17:26;11.4
04.10.2021 07:17:26;12.6
04.10.2021 08:17:26;13.0
04.10.2021 09:17:26;14.0
04.10.2021 10:17:26;14.6
04.10.2021 11:17:26;14.6
04.10.2021 12:17:26;14.2
04.10.2021 13:17:26;13.6
04.10.2021 14:17:26;13.0
04.10.2021 15:17:26;12.4
04.10.2021 16:17:26;11.8
04.10.2021 17:17:26;11.2
04.10.2021 18:17:26;10.8
04.10.2021 19:17:26;10.2
04.10.2021 20:17:26;9.8
04.10.2021 21:17:26;9.4
04.10.2021 22:17:26;9.2
04.10.2021 23:17:26;8.8
05.10.2021 00:17:26;8.4
05.10.2021 01:17:26;8.0
05.10.2021 02:17:26;7.8
05.10.2021 03:17:26;7.4
05.10.2021 04:17:26;7.2
05.10.2021 05:17:26;7.2
05.10.2021 06:17:26;8.0
05.10.2021 07:17:26;10.2
05.10.2021 08:17:26;12.6
05.10.2021 09:17:26;14.4
05.10.2021 10:17:26;15.2
05.10.2021 11:17:26;15.4
05.10.2021 12:17:26;15.2
05.10.2021 13:17:26;14.4
05.10.2021 14:17:26;13.8
05.10.2021 15:17:26;13.2
05.10.2021 16:17:26;12.8
05.10.2021 17:17:26;12.4
05.10.2021 18:17:26;12.2
05.10.2021 19:17:26;12.0
05.10.2021 20:17:26;11.8
05.10.2021 21:17:26;11.6
05.10.2021 22:17:26;11.4
05.10.2021 23:17:26;11.2
06.10.2021 00:17:26;11.0
06.10.2021 01:17:26;11.0
06.10.2021 02:17:26;10.8
06.10.2021 03:17:26;10.6
06.10.2021 04:17:26;10.8
06.10.2021 05:17:26;11.0
06.10.2021 06:17:26;11.4
06.10.2021 07:17:26;11.8
06.10.2021 08:17:26;12.8
06.10.2021 09:17:26;13.6
06.10.2021 10:17:26;14.0
06.10.2021 11:17:26;14.0
06.10.2021 12:17:26;13.8
06.10.2021 13:17:26;13.6
06.10.2021 14:17:26;13.2
06.10.2021 15:17:26;12.8
06.10.2021 16:17:26;12.4
06.10.2021 17:17:26;12.2
06.10.2021 18:17:26;12.0
06.10.2021 19:17:26;11.8
06.10.2021 20:17:26;11.4
06.10.2021 21:17:26;11.2
06.10.2021 22:17:26;11.0
06.10.2021 23:17:26;11.0
07.10.2021 00:17:26;10.8
07.10.2021 01:17:26;10.8
07.10.2021 02:17:26;10.6
07.10.2021 03:17:26;10.4
07.10.2021 04:17:26;10.4
07.10.2021 05:17:26;10.6
07.10.2021 06:17:26;11.2
07.10.2021 07:17:26;12.4
07.10.2021 08:17:26;13.2
07.10.2021 09:17:26;14.2
07.10.2021 10:17:26;14.6
07.10.2021 11:17:26;14.6
07.10.2021 12:17:26;14.4
07.10.2021 13:17:26;14.2
07.10.2021 14:17:26;13.8
07.10.2021 15:17:26;13.0
07.10.2021 16:17:26;12.4
07.10.2021 17:17:26;12.0
07.10.2021 18:17:26;11.6
07.10.2021 19:17:26;11.0
07.10.2021 20:17:26;10.6
07.10.2021 21:17:26;10.4
07.10.2021 22:17:26;10.0
07.10.2021 23:17:26;9.6
08.10.2021 00:17:26;9.2
08.10.2021 01:17:26;9.0
08.10.2021 02:17:26;8.8
08.10.2021 03:17:26;8.6
08.10.2021 04:17:26;8.6
08.10.2021 05:17:26;8.8
08.10.2021 06:17:26;9.8
08.10.2021 07:17:26;11.6
08.10.2021 08:17:26;13.2
08.10.2021 09:17:26;14.4
08.10.2021 10:17:26;15.2
08.10.2021 11:17:26;15.2
08.10.2021 12:17:26;15.0
08.10.2021 13:17:26;14.6
08.10.2021 14:17:26;14.2
08.10.2021 15:17:26;13.6
08.10.2021 16:17:26;13.0
08.10.2021 17:17:26;12.6
08.10.2021 18:17:26;12.2
08.10.2021 19:17:26;11.8
08.10.2021 20:17:26;11.2
08.10.2021 21:17:26;10.6
08.10.2021 22:17:26;10.2
08.10.2021 23:17:26;9.6
09.10.2021 00:17:26;9.2
09.10.2021 01:17:26;8.8
09.10.2021 02:17:26;8.4
09.10.2021 03:17:26;8.2
09.10.2021 04:17:26;7.8
09.10.2021 05:17:26;8.0
09.10.2021 06:17:26;8.8
09.10.2021 07:17:26;10.6
09.10.2021 08:17:26;13.0
09.10.2021 09:17:26;15.2
09.10.2021 10:17:26;15.8
09.10.2021 11:17:26;15.6
09.10.2021 12:17:26;15.0
09.10.2021 13:17:26;14.6
09.10.2021 14:17:26;13.8
09.10.2021 15:17:26;13.2
09.10.2021 16:17:26;12.6
09.10.2021 17:17:26;12.0
09.10.2021 18:17:26;11.4
09.10.2021 19:17:26;11.0
09.10.2021 20:17:26;10.6
09.10.2021 21:17:26;10.2
09.10.2021 22:17:26;9.8
09.10.2021 23:17:26;9.4
10.10.2021 00:17:26;9.2
10.10.2021 01:17:26;9.0
10.10.2021 02:17:26;8.8
10.10.2021 03:17:26;8.6
10.10.2021 04:17:26;8.4
10.10.2021 05:17:26;8.4
10.10.2021 06:17:26;8.4
10.10.2021 07:17:26;8.6
10.10.2021 08:17:26;9.4
10.10.2021 09:17:26;10.4
10.10.2021 10:17:26;10.6
10.10.2021 11:17:26;10.4
10.10.2021 12:17:26;10.0
10.10.2021 13:17:26;9.4
10.10.2021 14:17:26;9.0
10.10.2021 15:17:26;8.4
10.10.2021 16:17:26;7.8
10.10.2021 17:17:26;7.4
10.10.2021 18:17:26;7.0
10.10.2021 19:17:26;6.6
10.10.2021 20:17:26;6.2
10.10.2021 21:17:26;5.8
10.10.2021 22:17:26;5.4
10.10.2021 23:17:26;5.4
11.10.2021 00:17:26;5.2
11.10.2021 01:17:26;5.0
11.10.2021 02:17:26;4.8
11.10.2021 03:17:26;4.6
11.10.2021 04:17:26;4.4
11.10.2021 05:17:26;4.4
11.10.2021 06:17:26;4.6
11.10.2021 07:17:26;6.4
11.10.2021 08:17:26;8.6
11.10.2021 09:17:26;10.6
11.10.2021 10:17:26;11.2
11.10.2021 11:17:26;11.0
11.10.2021 12:17:26;10.4
11.10.2021 13:17:26;9.8
11.10.2021 14:17:26;9.2
11.10.2021 15:17:26;8.6
11.10.2021 16:17:26;8.0
