88:6B:0F:4A:6E:EA    -    SLF-Logger BLE
SerialNr;2005-0080
Project;sangvor
Name;mih
Location;SLF
Longitude;9.847383
Latitude;46.81242
Altitude;4002.0

Logger State;Stopped
Battery Level;72

Start Time;08. 09. 2022  06:20:08
PC Readout Time;21. 09. 2023  14:56:46
Logger Readout Time;21. 09. 2023  14:58:23
Logger to PC Difference;0d 0h 1min 37sec
Interval;1 hour

Offset (already added)[°C];0
Accuracy;0.2°C (Low power usage)

Measurement Count;9081
08.09.2022 06:20:08;4.8
08.09.2022 07:20:08;6.4
08.09.2022 08:20:08;8.0
08.09.2022 09:20:08;9.8
08.09.2022 10:20:08;11.4
08.09.2022 11:20:08;12.0
08.09.2022 12:20:08;11.8
08.09.2022 13:20:08;10.8
08.09.2022 14:20:08;9.0
08.09.2022 15:20:08;7.4
08.09.2022 16:20:08;6.0
08.09.2022 17:20:08;4.8
08.09.2022 18:20:08;3.8
08.09.2022 19:20:08;3.2
08.09.2022 20:20:08;2.4
08.09.2022 21:20:08;2.2
08.09.2022 22:20:08;2.0
08.09.2022 23:20:08;1.8
09.09.2022 00:20:08;1.6
09.09.2022 01:20:08;1.4
09.09.2022 02:20:08;1.2
09.09.2022 03:20:08;1.2
09.09.2022 04:20:08;1.0
09.09.2022 05:20:08;1.4
09.09.2022 06:20:08;2.8
09.09.2022 07:20:08;5.2
09.09.2022 08:20:08;7.2
09.09.2022 09:20:08;9.0
09.09.2022 10:20:08;10.8
09.09.2022 11:20:08;11.6
09.09.2022 12:20:08;11.6
09.09.2022 13:20:08;10.6
09.09.2022 14:20:08;8.8
09.09.2022 15:20:08;7.2
09.09.2022 16:20:08;6.0
09.09.2022 17:20:08;5.0
09.09.2022 18:20:08;3.8
09.09.2022 19:20:08;3.2
09.09.2022 20:20:08;2.6
09.09.2022 21:20:08;2.0
09.09.2022 22:20:08;1.8
09.09.2022 23:20:08;1.6
10.09.2022 00:20:08;1.6
10.09.2022 01:20:08;1.4
10.09.2022 02:20:08;1.2
10.09.2022 03:20:08;1.2
10.09.2022 04:20:08;1.0
10.09.2022 05:20:08;1.4
10.09.2022 06:20:08;3.2
10.09.2022 07:20:08;5.6
10.09.2022 08:20:08;7.4
10.09.2022 09:20:08;9.2
10.09.2022 10:20:08;10.6
10.09.2022 11:20:08;11.4
10.09.2022 12:20:08;11.2
10.09.2022 13:20:08;10.2
10.09.2022 14:20:08;8.4
10.09.2022 15:20:08;7.0
10.09.2022 16:20:08;6.0
10.09.2022 17:20:08;5.0
10.09.2022 18:20:08;4.4
10.09.2022 19:20:08;3.6
10.09.2022 20:20:08;3.0
10.09.2022 21:20:08;2.4
10.09.2022 22:20:08;2.0
10.09.2022 23:20:08;1.8
11.09.2022 00:20:08;1.6
11.09.2022 01:20:08;1.4
11.09.2022 02:20:08;1.2
11.09.2022 03:20:08;1.2
11.09.2022 04:20:08;1.0
11.09.2022 05:20:08;1.2
11.09.2022 06:20:08;2.6
11.09.2022 07:20:08;5.2
11.09.2022 08:20:08;7.4
11.09.2022 09:20:08;9.6
11.09.2022 10:20:08;10.6
11.09.2022 11:20:08;11.0
11.09.2022 12:20:08;10.6
11.09.2022 13:20:08;9.8
11.09.2022 14:20:08;8.6
11.09.2022 15:20:08;7.4
11.09.2022 16:20:08;6.4
11.09.2022 17:20:08;5.6
11.09.2022 18:20:08;5.0
11.09.2022 19:20:08;4.4
11.09.2022 20:20:08;3.6
11.09.2022 21:20:08;3.0
11.09.2022 22:20:08;2.4
11.09.2022 23:20:08;2.0
12.09.2022 00:20:08;1.8
12.09.2022 01:20:08;1.6
12.09.2022 02:20:08;1.4
12.09.2022 03:20:08;1.2
12.09.2022 04:20:08;1.2
12.09.2022 05:20:08;1.8
12.09.2022 06:20:08;4.2
12.09.2022 07:20:08;6.6
12.09.2022 08:20:08;8.8
12.09.2022 09:20:08;10.4
12.09.2022 10:20:08;10.6
12.09.2022 11:20:08;10.6
12.09.2022 12:20:08;10.0
12.09.2022 13:20:08;8.8
12.09.2022 14:20:08;7.2
12.09.2022 15:20:08;6.0
12.09.2022 16:20:08;5.0
12.09.2022 17:20:08;4.2
12.09.2022 18:20:08;3.4
12.09.2022 19:20:08;2.8
12.09.2022 20:20:08;2.2
12.09.2022 21:20:08;2.0
12.09.2022 22:20:08;1.8
12.09.2022 23:20:08;1.6
13.09.2022 00:20:08;1.4
13.09.2022 01:20:08;1.2
13.09.2022 02:20:08;1.2
13.09.2022 03:20:08;1.0
13.09.2022 04:20:08;1.0
13.09.2022 05:20:08;1.0
13.09.2022 06:20:08;1.8
13.09.2022 07:20:08;4.4
13.09.2022 08:20:08;6.8
13.09.2022 09:20:08;8.4
13.09.2022 10:20:08;10.0
13.09.2022 11:20:08;11.0
13.09.2022 12:20:08;10.8
13.09.2022 13:20:08;9.8
13.09.2022 14:20:08;8.0
13.09.2022 15:20:08;6.4
13.09.2022 16:20:08;5.4
13.09.2022 17:20:08;4.2
13.09.2022 18:20:08;3.2
13.09.2022 19:20:08;2.6
13.09.2022 20:20:08;2.2
13.09.2022 21:20:08;1.8
13.09.2022 22:20:08;1.6
13.09.2022 23:20:08;1.4
14.09.2022 00:20:08;1.4
14.09.2022 01:20:08;1.2
14.09.2022 02:20:08;1.0
14.09.2022 03:20:08;1.0
14.09.2022 04:20:08;1.0
14.09.2022 05:20:08;1.0
14.09.2022 06:20:08;2.0
14.09.2022 07:20:08;4.6
14.09.2022 08:20:08;6.6
14.09.2022 09:20:08;8.4
14.09.2022 10:20:08;10.0
14.09.2022 11:20:08;10.6
14.09.2022 12:20:08;10.6
14.09.2022 13:20:08;9.4
14.09.2022 14:20:08;7.6
14.09.2022 15:20:08;6.4
14.09.2022 16:20:08;5.4
14.09.2022 17:20:08;4.4
14.09.2022 18:20:08;3.4
14.09.2022 19:20:08;2.8
14.09.2022 20:20:08;2.2
14.09.2022 21:20:08;2.0
14.09.2022 22:20:08;1.8
14.09.2022 23:20:08;1.6
15.09.2022 00:20:08;1.4
15.09.2022 01:20:08;1.2
15.09.2022 02:20:08;1.0
15.09.2022 03:20:08;1.0
15.09.2022 04:20:08;1.0
15.09.2022 05:20:08;1.0
15.09.2022 06:20:08;1.6
15.09.2022 07:20:08;4.0
15.09.2022 08:20:08;6.8
15.09.2022 09:20:08;9.0
15.09.2022 10:20:08;10.2
15.09.2022 11:20:08;10.6
15.09.2022 12:20:08;10.2
15.09.2022 13:20:08;9.0
15.09.2022 14:20:08;7.2
15.09.2022 15:20:08;6.0
15.09.2022 16:20:08;4.8
15.09.2022 17:20:08;4.0
15.09.2022 18:20:08;3.2
15.09.2022 19:20:08;2.4
15.09.2022 20:20:08;2.0
15.09.2022 21:20:08;1.8
15.09.2022 22:20:08;1.6
15.09.2022 23:20:08;1.4
16.09.2022 00:20:08;1.2
16.09.2022 01:20:08;1.2
16.09.2022 02:20:08;1.0
16.09.2022 03:20:08;1.0
16.09.2022 04:20:08;0.8
16.09.2022 05:20:08;0.8
16.09.2022 06:20:08;1.4
16.09.2022 07:20:08;4.0
16.09.2022 08:20:08;6.4
16.09.2022 09:20:08;6.8
16.09.2022 10:20:08;8.4
16.09.2022 11:20:08;9.8
16.09.2022 12:20:08;10.2
16.09.2022 13:20:08;9.2
16.09.2022 14:20:08;7.4
16.09.2022 15:20:08;6.0
16.09.2022 16:20:08;4.8
16.09.2022 17:20:08;3.8
16.09.2022 18:20:08;3.0
16.09.2022 19:20:08;2.4
16.09.2022 20:20:08;2.0
16.09.2022 21:20:08;1.8
16.09.2022 22:20:08;1.6
16.09.2022 23:20:08;1.4
17.09.2022 00:20:08;1.2
17.09.2022 01:20:08;1.2
17.09.2022 02:20:08;1.0
17.09.2022 03:20:08;1.0
17.09.2022 04:20:08;1.0
17.09.2022 05:20:08;1.2
17.09.2022 06:20:08;3.0
17.09.2022 07:20:08;5.6
17.09.2022 08:20:08;7.0
17.09.2022 09:20:08;7.2
17.09.2022 10:20:08;8.6
17.09.2022 11:20:08;9.6
17.09.2022 12:20:08;9.8
17.09.2022 13:20:08;9.0
17.09.2022 14:20:08;7.6
17.09.2022 15:20:08;6.2
17.09.2022 16:20:08;5.0
17.09.2022 17:20:08;4.0
17.09.2022 18:20:08;3.2
17.09.2022 19:20:08;2.6
17.09.2022 20:20:08;2.0
17.09.2022 21:20:08;1.8
17.09.2022 22:20:08;1.6
17.09.2022 23:20:08;1.4
18.09.2022 00:20:08;1.2
18.09.2022 01:20:08;1.0
18.09.2022 02:20:08;1.0
18.09.2022 03:20:08;1.0
18.09.2022 04:20:08;0.8
18.09.2022 05:20:08;1.0
18.09.2022 06:20:08;2.0
18.09.2022 07:20:08;4.8
18.09.2022 08:20:08;7.2
18.09.2022 09:20:08;8.6
18.09.2022 10:20:08;9.0
18.09.2022 11:20:08;9.0
18.09.2022 12:20:08;8.4
18.09.2022 13:20:08;7.8
18.09.2022 14:20:08;6.8
18.09.2022 15:20:08;5.6
18.09.2022 16:20:08;4.4
18.09.2022 17:20:08;3.4
18.09.2022 18:20:08;2.6
18.09.2022 19:20:08;2.0
18.09.2022 20:20:08;1.8
18.09.2022 21:20:08;1.6
18.09.2022 22:20:08;1.4
18.09.2022 23:20:08;1.2
19.09.2022 00:20:08;1.0
19.09.2022 01:20:08;1.0
19.09.2022 02:20:08;1.0
19.09.2022 03:20:08;0.8
19.09.2022 04:20:08;0.8
19.09.2022 05:20:08;0.8
19.09.2022 06:20:08;1.4
19.09.2022 07:20:08;4.2
19.09.2022 08:20:08;7.0
19.09.2022 09:20:08;9.0
19.09.2022 10:20:08;10.0
19.09.2022 11:20:08;10.4
19.09.2022 12:20:08;10.0
19.09.2022 13:20:08;8.8
19.09.2022 14:20:08;7.0
19.09.2022 15:20:08;5.6
19.09.2022 16:20:08;4.2
19.09.2022 17:20:08;3.2
19.09.2022 18:20:08;2.4
19.09.2022 19:20:08;2.0
19.09.2022 20:20:08;1.8
19.09.2022 21:20:08;1.6
19.09.2022 22:20:08;1.4
19.09.2022 23:20:08;1.2
20.09.2022 00:20:08;1.0
20.09.2022 01:20:08;1.0
20.09.2022 02:20:08;1.0
20.09.2022 03:20:08;0.8
20.09.2022 04:20:08;0.8
20.09.2022 05:20:08;0.8
20.09.2022 06:20:08;1.0
20.09.2022 07:20:08;1.2
20.09.2022 08:20:08;3.2
20.09.2022 09:20:08;5.8
20.09.2022 10:20:08;7.2
20.09.2022 11:20:08;7.0
20.09.2022 12:20:08;7.6
20.09.2022 13:20:08;7.2
20.09.2022 14:20:08;6.0
20.09.2022 15:20:08;4.8
20.09.2022 16:20:08;4.0
20.09.2022 17:20:08;3.2
20.09.2022 18:20:08;2.4
20.09.2022 19:20:08;1.8
20.09.2022 20:20:08;1.6
20.09.2022 21:20:08;1.4
20.09.2022 22:20:08;1.2
20.09.2022 23:20:08;1.0
21.09.2022 00:20:08;1.0
21.09.2022 01:20:08;1.0
21.09.2022 02:20:08;0.8
21.09.2022 03:20:08;0.8
21.09.2022 04:20:08;0.8
21.09.2022 05:20:08;0.8
21.09.2022 06:20:08;1.0
21.09.2022 07:20:08;1.6
21.09.2022 08:20:08;3.6
21.09.2022 09:20:08;5.6
21.09.2022 10:20:08;7.8
21.09.2022 11:20:08;8.8
21.09.2022 12:20:08;8.4
21.09.2022 13:20:08;7.0
21.09.2022 14:20:08;5.8
21.09.2022 15:20:08;4.6
21.09.2022 16:20:08;3.6
21.09.2022 17:20:08;2.6
21.09.2022 18:20:08;2.2
21.09.2022 19:20:08;1.8
21.09.2022 20:20:08;1.4
21.09.2022 21:20:08;1.2
21.09.2022 22:20:08;1.0
21.09.2022 23:20:08;1.0
22.09.2022 00:20:08;1.0
22.09.2022 01:20:08;0.8
22.09.2022 02:20:08;0.8
22.09.2022 03:20:08;0.6
22.09.2022 04:20:08;0.6
22.09.2022 05:20:08;0.6
22.09.2022 06:20:08;0.6
22.09.2022 07:20:08;2.2
22.09.2022 08:20:08;5.0
22.09.2022 09:20:08;7.6
22.09.2022 10:20:08;9.0
22.09.2022 11:20:08;9.4
22.09.2022 12:20:08;9.2
22.09.2022 13:20:08;8.0
22.09.2022 14:20:08;6.2
22.09.2022 15:20:08;4.8
22.09.2022 16:20:08;3.6
22.09.2022 17:20:08;2.8
22.09.2022 18:20:08;2.2
22.09.2022 19:20:08;1.8
22.09.2022 20:20:08;1.6
22.09.2022 21:20:08;1.4
22.09.2022 22:20:08;1.2
22.09.2022 23:20:08;1.0
23.09.2022 00:20:08;1.0
23.09.2022 01:20:08;0.8
23.09.2022 02:20:08;0.8
23.09.2022 03:20:08;0.6
23.09.2022 04:20:08;0.6
23.09.2022 05:20:08;0.6
23.09.2022 06:20:08;0.6
23.09.2022 07:20:08;2.0
23.09.2022 08:20:08;5.0
23.09.2022 09:20:08;7.4
23.09.2022 10:20:08;8.8
23.09.2022 11:20:08;9.2
23.09.2022 12:20:08;8.6
23.09.2022 13:20:08;7.4
23.09.2022 14:20:08;5.8
23.09.2022 15:20:08;4.4
23.09.2022 16:20:08;3.4
23.09.2022 17:20:08;2.4
23.09.2022 18:20:08;2.0
23.09.2022 19:20:08;1.6
23.09.2022 20:20:08;1.4
23.09.2022 21:20:08;1.2
23.09.2022 22:20:08;1.0
23.09.2022 23:20:08;1.0
24.09.2022 00:20:08;0.8
24.09.2022 01:20:08;0.8
24.09.2022 02:20:08;0.8
24.09.2022 03:20:08;0.6
24.09.2022 04:20:08;0.6
24.09.2022 05:20:08;0.6
24.09.2022 06:20:08;0.6
24.09.2022 07:20:08;1.4
24.09.2022 08:20:08;4.2
24.09.2022 09:20:08;6.6
24.09.2022 10:20:08;8.4
24.09.2022 11:20:08;9.0
24.09.2022 12:20:08;8.8
24.09.2022 13:20:08;7.6
24.09.2022 14:20:08;5.8
24.09.2022 15:20:08;4.4
24.09.2022 16:20:08;3.4
