88:6B:0F:4A:6E:F9    -    SLF-Logger BLE
SerialNr;2005-0081
Project;sangvor
Name;mih
Location;SLF
Longitude;9.847383
Latitude;46.81242
Altitude;3245.0

Logger State;Stopped
Battery Level;62

Start Time;22. 09. 2023  09:33:22
PC Readout Time;26. 06. 2023  01:04:44
Logger Readout Time;06. 09. 2024  04:34:41
Logger to PC Difference;438d 3h 29min 57sec
Interval;1 hour

Offset (already added)[°C];0
Accuracy;0.2°C (Low power usage)

Measurement Count;8396
22.09.2023 09:33:22;11.0
22.09.2023 10:33:22;13.8
22.09.2023 11:33:22;15.6
22.09.2023 12:33:22;16.2
22.09.2023 13:33:22;16.0
22.09.2023 14:33:22;15.0
22.09.2023 15:33:22;13.8
22.09.2023 16:33:22;12.4
22.09.2023 17:33:22;11.2
22.09.2023 18:33:22;10.2
22.09.2023 19:33:22;9.2
22.09.2023 20:33:22;8.2
22.09.2023 21:33:22;7.4
22.09.2023 22:33:22;6.8
22.09.2023 23:33:22;6.0
23.09.2023 00:33:22;5.4
23.09.2023 01:33:22;4.8
23.09.2023 02:33:22;4.4
23.09.2023 03:33:22;3.8
23.09.2023 04:33:22;3.4
23.09.2023 05:33:22;3.2
23.09.2023 06:33:22;3.2
23.09.2023 07:33:22;3.8
23.09.2023 08:33:22;7.0
23.09.2023 09:33:22;10.6
23.09.2023 10:33:22;13.4
23.09.2023 11:33:22;15.4
23.09.2023 12:33:22;16.2
23.09.2023 13:33:22;16.2
23.09.2023 14:33:22;15.4
23.09.2023 15:33:22;14.0
23.09.2023 16:33:22;12.8
23.09.2023 17:33:22;11.6
23.09.2023 18:33:22;10.4
23.09.2023 19:33:22;9.4
23.09.2023 20:33:22;8.4
23.09.2023 21:33:22;7.6
23.09.2023 22:33:22;6.8
23.09.2023 23:33:22;6.2
24.09.2023 00:33:22;5.6
24.09.2023 01:33:22;5.0
24.09.2023 02:33:22;4.6
24.09.2023 03:33:22;4.0
24.09.2023 04:33:22;3.8
24.09.2023 05:33:22;3.6
24.09.2023 06:33:22;3.4
24.09.2023 07:33:22;4.0
24.09.2023 08:33:22;7.2
24.09.2023 09:33:22;10.8
24.09.2023 10:33:22;13.6
24.09.2023 11:33:22;15.0
24.09.2023 12:33:22;14.4
24.09.2023 13:33:22;13.6
24.09.2023 14:33:22;13.0
24.09.2023 15:33:22;12.2
24.09.2023 16:33:22;11.2
24.09.2023 17:33:22;10.4
24.09.2023 18:33:22;9.6
24.09.2023 19:33:22;8.8
24.09.2023 20:33:22;8.2
24.09.2023 21:33:22;7.6
24.09.2023 22:33:22;7.4
24.09.2023 23:33:22;7.2
25.09.2023 00:33:22;7.0
25.09.2023 01:33:22;6.8
25.09.2023 02:33:22;6.6
25.09.2023 03:33:22;6.4
25.09.2023 04:33:22;6.6
25.09.2023 05:33:22;6.8
25.09.2023 06:33:22;7.6
25.09.2023 07:33:22;8.4
25.09.2023 08:33:22;9.4
25.09.2023 09:33:22;11.4
25.09.2023 10:33:22;14.2
25.09.2023 11:33:22;15.4
25.09.2023 12:33:22;15.2
25.09.2023 13:33:22;14.4
25.09.2023 14:33:22;13.6
25.09.2023 15:33:22;12.6
25.09.2023 16:33:22;11.8
25.09.2023 17:33:22;11.2
25.09.2023 18:33:22;10.6
25.09.2023 19:33:22;10.0
25.09.2023 20:33:22;9.4
25.09.2023 21:33:22;8.8
25.09.2023 22:33:22;8.2
25.09.2023 23:33:22;7.6
26.09.2023 00:33:22;7.0
26.09.2023 01:33:22;6.4
26.09.2023 02:33:22;5.8
26.09.2023 03:33:22;5.2
26.09.2023 04:33:22;4.8
26.09.2023 05:33:22;4.4
26.09.2023 06:33:22;4.2
26.09.2023 07:33:22;4.6
26.09.2023 08:33:22;7.4
26.09.2023 09:33:22;10.8
26.09.2023 10:33:22;13.8
26.09.2023 11:33:22;15.6
26.09.2023 12:33:22;16.0
26.09.2023 13:33:22;15.8
26.09.2023 14:33:22;15.2
26.09.2023 15:33:22;14.0
26.09.2023 16:33:22;12.6
26.09.2023 17:33:22;11.4
26.09.2023 18:33:22;10.4
26.09.2023 19:33:22;9.4
26.09.2023 20:33:22;8.4
26.09.2023 21:33:22;7.6
26.09.2023 22:33:22;6.8
26.09.2023 23:33:22;6.2
27.09.2023 00:33:22;5.4
27.09.2023 01:33:22;4.8
27.09.2023 02:33:22;4.4
27.09.2023 03:33:22;3.8
27.09.2023 04:33:22;3.4
27.09.2023 05:33:22;3.2
27.09.2023 06:33:22;3.2
27.09.2023 07:33:22;3.6
27.09.2023 08:33:22;6.6
27.09.2023 09:33:22;10.0
27.09.2023 10:33:22;12.2
27.09.2023 11:33:22;13.0
27.09.2023 12:33:22;13.0
27.09.2023 13:33:22;13.0
27.09.2023 14:33:22;12.4
27.09.2023 15:33:22;11.6
27.09.2023 16:33:22;11.0
27.09.2023 17:33:22;10.2
27.09.2023 18:33:22;9.6
27.09.2023 19:33:22;8.8
27.09.2023 20:33:22;8.2
27.09.2023 21:33:22;7.6
27.09.2023 22:33:22;7.2
27.09.2023 23:33:22;6.8
28.09.2023 00:33:22;6.4
28.09.2023 01:33:22;6.2
28.09.2023 02:33:22;6.0
28.09.2023 03:33:22;5.6
28.09.2023 04:33:22;5.6
28.09.2023 05:33:22;6.0
28.09.2023 06:33:22;6.8
28.09.2023 07:33:22;7.4
28.09.2023 08:33:22;7.6
28.09.2023 09:33:22;7.4
28.09.2023 10:33:22;7.0
28.09.2023 11:33:22;7.0
28.09.2023 12:33:22;7.2
28.09.2023 13:33:22;7.4
28.09.2023 14:33:22;7.2
28.09.2023 15:33:22;6.8
28.09.2023 16:33:22;6.4
28.09.2023 17:33:22;6.0
28.09.2023 18:33:22;5.8
28.09.2023 19:33:22;5.4
28.09.2023 20:33:22;5.2
28.09.2023 21:33:22;5.0
28.09.2023 22:33:22;4.8
28.09.2023 23:33:22;4.6
29.09.2023 00:33:22;4.6
29.09.2023 01:33:22;4.4
29.09.2023 02:33:22;4.2
29.09.2023 03:33:22;4.0
29.09.2023 04:33:22;4.2
29.09.2023 05:33:22;4.6
29.09.2023 06:33:22;5.4
29.09.2023 07:33:22;6.2
29.09.2023 08:33:22;6.6
29.09.2023 09:33:22;7.0
29.09.2023 10:33:22;7.4
29.09.2023 11:33:22;7.8
29.09.2023 12:33:22;8.4
29.09.2023 13:33:22;8.2
29.09.2023 14:33:22;8.0
29.09.2023 15:33:22;7.2
29.09.2023 16:33:22;6.6
29.09.2023 17:33:22;6.0
29.09.2023 18:33:22;5.6
29.09.2023 19:33:22;5.2
29.09.2023 20:33:22;4.8
29.09.2023 21:33:22;4.6
29.09.2023 22:33:22;4.4
29.09.2023 23:33:22;4.2
30.09.2023 00:33:22;4.0
30.09.2023 01:33:22;4.0
30.09.2023 02:33:22;3.8
30.09.2023 03:33:22;3.8
30.09.2023 04:33:22;3.8
30.09.2023 05:33:22;3.6
30.09.2023 06:33:22;3.6
30.09.2023 07:33:22;3.6
30.09.2023 08:33:22;3.8
30.09.2023 09:33:22;4.0
30.09.2023 10:33:22;4.4
30.09.2023 11:33:22;6.2
30.09.2023 12:33:22;7.6
30.09.2023 13:33:22;8.0
30.09.2023 14:33:22;7.4
30.09.2023 15:33:22;6.6
30.09.2023 16:33:22;5.4
30.09.2023 17:33:22;4.6
30.09.2023 18:33:22;4.0
30.09.2023 19:33:22;3.4
30.09.2023 20:33:22;2.8
30.09.2023 21:33:22;2.4
30.09.2023 22:33:22;2.0
30.09.2023 23:33:22;1.8
01.10.2023 00:33:22;1.4
01.10.2023 01:33:22;1.2
01.10.2023 02:33:22;1.0
01.10.2023 03:33:22;0.8
01.10.2023 04:33:22;0.8
01.10.2023 05:33:22;0.6
01.10.2023 06:33:22;0.4
01.10.2023 07:33:22;0.4
01.10.2023 08:33:22;0.4
01.10.2023 09:33:22;2.0
01.10.2023 10:33:22;7.0
01.10.2023 11:33:22;10.0
01.10.2023 12:33:22;11.2
01.10.2023 13:33:22;11.2
01.10.2023 14:33:22;10.0
01.10.2023 15:33:22;8.8
01.10.2023 16:33:22;7.4
01.10.2023 17:33:22;6.4
01.10.2023 18:33:22;5.4
01.10.2023 19:33:22;4.6
01.10.2023 20:33:22;4.2
01.10.2023 21:33:22;3.6
01.10.2023 22:33:22;3.2
01.10.2023 23:33:22;3.0
02.10.2023 00:33:22;2.8
02.10.2023 01:33:22;2.6
02.10.2023 02:33:22;2.4
02.10.2023 03:33:22;2.2
02.10.2023 04:33:22;2.0
02.10.2023 05:33:22;2.0
02.10.2023 06:33:22;2.2
02.10.2023 07:33:22;3.4
02.10.2023 08:33:22;6.0
02.10.2023 09:33:22;8.0
02.10.2023 10:33:22;10.2
02.10.2023 11:33:22;11.6
02.10.2023 12:33:22;11.6
02.10.2023 13:33:22;11.0
02.10.2023 14:33:22;10.0
02.10.2023 15:33:22;8.8
02.10.2023 16:33:22;7.8
02.10.2023 17:33:22;6.8
02.10.2023 18:33:22;6.0
02.10.2023 19:33:22;5.0
02.10.2023 20:33:22;4.4
02.10.2023 21:33:22;3.8
02.10.2023 22:33:22;3.2
02.10.2023 23:33:22;2.6
03.10.2023 00:33:22;2.2
03.10.2023 01:33:22;2.0
03.10.2023 02:33:22;1.6
03.10.2023 03:33:22;1.4
03.10.2023 04:33:22;1.2
03.10.2023 05:33:22;1.0
03.10.2023 06:33:22;1.0
03.10.2023 07:33:22;0.8
03.10.2023 08:33:22;1.6
03.10.2023 09:33:22;5.6
03.10.2023 10:33:22;9.0
03.10.2023 11:33:22;10.2
03.10.2023 12:33:22;10.6
03.10.2023 13:33:22;10.2
03.10.2023 14:33:22;9.4
03.10.2023 15:33:22;8.6
03.10.2023 16:33:22;7.8
03.10.2023 17:33:22;7.2
03.10.2023 18:33:22;6.6
03.10.2023 19:33:22;5.8
03.10.2023 20:33:22;5.0
03.10.2023 21:33:22;4.2
03.10.2023 22:33:22;3.6
03.10.2023 23:33:22;3.0
04.10.2023 00:33:22;2.6
04.10.2023 01:33:22;2.2
04.10.2023 02:33:22;1.8
04.10.2023 03:33:22;1.6
04.10.2023 04:33:22;1.4
04.10.2023 05:33:22;1.4
04.10.2023 06:33:22;1.4
04.10.2023 07:33:22;1.8
04.10.2023 08:33:22;3.6
04.10.2023 09:33:22;7.4
04.10.2023 10:33:22;10.2
04.10.2023 11:33:22;11.8
04.10.2023 12:33:22;12.6
04.10.2023 13:33:22;12.0
04.10.2023 14:33:22;11.0
04.10.2023 15:33:22;10.0
04.10.2023 16:33:22;9.2
04.10.2023 17:33:22;8.4
04.10.2023 18:33:22;7.8
04.10.2023 19:33:22;7.0
04.10.2023 20:33:22;6.4
04.10.2023 21:33:22;6.0
04.10.2023 22:33:22;5.6
04.10.2023 23:33:22;5.2
05.10.2023 00:33:22;5.0
05.10.2023 01:33:22;4.6
05.10.2023 02:33:22;4.2
05.10.2023 03:33:22;4.0
05.10.2023 04:33:22;3.8
05.10.2023 05:33:22;3.6
05.10.2023 06:33:22;3.6
05.10.2023 07:33:22;3.6
05.10.2023 08:33:22;5.2
05.10.2023 09:33:22;8.0
05.10.2023 10:33:22;10.0
05.10.2023 11:33:22;12.0
05.10.2023 12:33:22;12.6
05.10.2023 13:33:22;12.0
05.10.2023 14:33:22;11.2
05.10.2023 15:33:22;10.4
05.10.2023 16:33:22;9.8
05.10.2023 17:33:22;9.0
05.10.2023 18:33:22;8.4
05.10.2023 19:33:22;7.8
05.10.2023 20:33:22;7.4
05.10.2023 21:33:22;7.0
05.10.2023 22:33:22;6.6
05.10.2023 23:33:22;6.4
06.10.2023 00:33:22;6.0
06.10.2023 01:33:22;5.8
06.10.2023 02:33:22;5.4
06.10.2023 03:33:22;5.2
06.10.2023 04:33:22;5.4
06.10.2023 05:33:22;5.6
06.10.2023 06:33:22;6.4
06.10.2023 07:33:22;7.6
06.10.2023 08:33:22;8.6
06.10.2023 09:33:22;9.0
06.10.2023 10:33:22;8.6
06.10.2023 11:33:22;7.6
06.10.2023 12:33:22;6.2
06.10.2023 13:33:22;5.4
06.10.2023 14:33:22;4.8
06.10.2023 15:33:22;4.4
06.10.2023 16:33:22;4.2
06.10.2023 17:33:22;4.0
06.10.2023 18:33:22;3.6
06.10.2023 19:33:22;3.4
06.10.2023 20:33:22;3.2
06.10.2023 21:33:22;3.2
06.10.2023 22:33:22;3.0
06.10.2023 23:33:22;3.0
07.10.2023 00:33:22;3.0
07.10.2023 01:33:22;3.0
07.10.2023 02:33:22;2.8
07.10.2023 03:33:22;2.8
07.10.2023 04:33:22;2.8
07.10.2023 05:33:22;2.6
07.10.2023 06:33:22;2.6
07.10.2023 07:33:22;2.4
07.10.2023 08:33:22;2.8
07.10.2023 09:33:22;5.2
07.10.2023 10:33:22;7.8
07.10.2023 11:33:22;9.4
07.10.2023 12:33:22;10.2
07.10.2023 13:33:22;9.8
07.10.2023 14:33:22;9.2
07.10.2023 15:33:22;8.2
07.10.2023 16:33:22;7.2
07.10.2023 17:33:22;6.2
07.10.2023 18:33:22;5.4
07.10.2023 19:33:22;4.8
07.10.2023 20:33:22;4.2
07.10.2023 21:33:22;3.8
07.10.2023 22:33:22;3.4
07.10.2023 23:33:22;3.2
08.10.2023 00:33:22;2.8
08.10.2023 01:33:22;2.6
08.10.2023 02:33:22;2.4
08.10.2023 03:33:22;2.0
08.10.2023 04:33:22;1.8
08.10.2023 05:33:22;1.6
08.10.2023 06:33:22;1.6
08.10.2023 07:33:22;1.4
08.10.2023 08:33:22;1.4
08.10.2023 09:33:22;3.8
08.10.2023 10:33:22;6.8
08.10.2023 11:33:22;8.8
08.10.2023 12:33:22;9.6
08.10.2023 13:33:22;9.6
08.10.2023 14:33:22;8.6
08.10.2023 15:33:22;7.6
08.10.2023 16:33:22;6.6
08.10.2023 17:33:22;5.6
08.10.2023 18:33:22;4.8
08.10.2023 19:33:22;4.2
