88:6B:0F:4A:6F:07    -    SLF-Logger BLE
SerialNr;2005-0082
Project;sangvor
Name;mih
Location;SLF
Longitude;71.371605
Latitude;38.733913
Altitude;4412.0

Logger State;Stopped
Battery Level;72

Start Time;07. 09. 2022  09:45:09
PC Readout Time;21. 09. 2023  11:17:59
Logger Readout Time;21. 09. 2023  11:16:46
Logger to PC Difference;0d 0h 1min 13sec
Interval;1 hour

Offset (already added)[°C];0
Accuracy;0.2°C (Low power usage)

Measurement Count;9098
07.09.2022 09:45:09;16.2
07.09.2022 10:45:09;17.2
07.09.2022 11:45:09;17.8
07.09.2022 12:45:09;17.8
07.09.2022 13:45:09;17.0
07.09.2022 14:45:09;15.8
07.09.2022 15:45:09;14.6
07.09.2022 16:45:09;13.4
07.09.2022 17:45:09;12.4
07.09.2022 18:45:09;11.4
07.09.2022 19:45:09;10.8
07.09.2022 20:45:09;10.0
07.09.2022 21:45:09;9.4
07.09.2022 22:45:09;8.8
07.09.2022 23:45:09;8.2
08.09.2022 00:45:09;7.8
08.09.2022 01:45:09;7.2
08.09.2022 02:45:09;6.8
08.09.2022 03:45:09;6.6
08.09.2022 04:45:09;7.2
08.09.2022 05:45:09;8.6
08.09.2022 06:45:09;10.6
08.09.2022 07:45:09;12.8
08.09.2022 08:45:09;14.6
08.09.2022 09:45:09;16.2
08.09.2022 10:45:09;17.4
08.09.2022 11:45:09;18.0
08.09.2022 12:45:09;17.8
08.09.2022 13:45:09;17.0
08.09.2022 14:45:09;15.8
08.09.2022 15:45:09;14.6
08.09.2022 16:45:09;13.4
08.09.2022 17:45:09;12.4
08.09.2022 18:45:09;11.4
08.09.2022 19:45:09;10.6
08.09.2022 20:45:09;10.0
08.09.2022 21:45:09;9.2
08.09.2022 22:45:09;8.6
08.09.2022 23:45:09;8.0
09.09.2022 00:45:09;7.6
09.09.2022 01:45:09;7.0
09.09.2022 02:45:09;6.6
09.09.2022 03:45:09;6.4
09.09.2022 04:45:09;6.8
09.09.2022 05:45:09;8.4
09.09.2022 06:45:09;10.4
09.09.2022 07:45:09;12.6
09.09.2022 08:45:09;14.4
09.09.2022 09:45:09;16.0
09.09.2022 10:45:09;17.2
09.09.2022 11:45:09;17.8
09.09.2022 12:45:09;17.6
09.09.2022 13:45:09;16.8
09.09.2022 14:45:09;15.6
09.09.2022 15:45:09;14.4
09.09.2022 16:45:09;13.2
09.09.2022 17:45:09;12.2
09.09.2022 18:45:09;11.4
09.09.2022 19:45:09;10.6
09.09.2022 20:45:09;9.8
09.09.2022 21:45:09;9.2
09.09.2022 22:45:09;8.6
09.09.2022 23:45:09;8.0
10.09.2022 00:45:09;7.6
10.09.2022 01:45:09;7.2
10.09.2022 02:45:09;6.6
10.09.2022 03:45:09;6.4
10.09.2022 04:45:09;6.8
10.09.2022 05:45:09;8.4
10.09.2022 06:45:09;10.4
10.09.2022 07:45:09;12.4
10.09.2022 08:45:09;14.4
10.09.2022 09:45:09;16.0
10.09.2022 10:45:09;17.0
10.09.2022 11:45:09;17.4
10.09.2022 12:45:09;17.2
10.09.2022 13:45:09;16.6
10.09.2022 14:45:09;15.4
10.09.2022 15:45:09;14.2
10.09.2022 16:45:09;13.0
10.09.2022 17:45:09;12.0
10.09.2022 18:45:09;11.2
10.09.2022 19:45:09;10.4
10.09.2022 20:45:09;9.8
10.09.2022 21:45:09;9.2
10.09.2022 22:45:09;8.6
10.09.2022 23:45:09;8.0
11.09.2022 00:45:09;7.4
11.09.2022 01:45:09;7.0
11.09.2022 02:45:09;6.6
11.09.2022 03:45:09;6.2
11.09.2022 04:45:09;6.6
11.09.2022 05:45:09;8.0
11.09.2022 06:45:09;10.0
11.09.2022 07:45:09;11.8
11.09.2022 08:45:09;13.2
11.09.2022 09:45:09;14.0
11.09.2022 10:45:09;15.2
11.09.2022 11:45:09;15.8
11.09.2022 12:45:09;15.6
11.09.2022 13:45:09;15.0
11.09.2022 14:45:09;14.2
11.09.2022 15:45:09;13.0
11.09.2022 16:45:09;12.2
11.09.2022 17:45:09;11.4
11.09.2022 18:45:09;10.8
11.09.2022 19:45:09;10.0
11.09.2022 20:45:09;9.2
11.09.2022 21:45:09;8.6
11.09.2022 22:45:09;8.0
11.09.2022 23:45:09;7.6
12.09.2022 00:45:09;7.0
12.09.2022 01:45:09;6.6
12.09.2022 02:45:09;6.0
12.09.2022 03:45:09;5.8
12.09.2022 04:45:09;6.2
12.09.2022 05:45:09;7.6
12.09.2022 06:45:09;9.2
12.09.2022 07:45:09;11.4
12.09.2022 08:45:09;13.0
12.09.2022 09:45:09;14.4
12.09.2022 10:45:09;15.2
12.09.2022 11:45:09;15.6
12.09.2022 12:45:09;15.4
12.09.2022 13:45:09;14.6
12.09.2022 14:45:09;13.6
12.09.2022 15:45:09;12.4
12.09.2022 16:45:09;11.2
12.09.2022 17:45:09;10.4
12.09.2022 18:45:09;9.6
12.09.2022 19:45:09;8.8
12.09.2022 20:45:09;8.2
12.09.2022 21:45:09;7.6
12.09.2022 22:45:09;7.0
12.09.2022 23:45:09;6.4
13.09.2022 00:45:09;6.0
13.09.2022 01:45:09;5.4
13.09.2022 02:45:09;5.0
13.09.2022 03:45:09;4.8
13.09.2022 04:45:09;5.2
13.09.2022 05:45:09;6.6
13.09.2022 06:45:09;8.6
13.09.2022 07:45:09;10.8
13.09.2022 08:45:09;12.8
13.09.2022 09:45:09;14.4
13.09.2022 10:45:09;15.4
13.09.2022 11:45:09;16.0
13.09.2022 12:45:09;16.0
13.09.2022 13:45:09;15.2
13.09.2022 14:45:09;14.0
13.09.2022 15:45:09;12.8
13.09.2022 16:45:09;11.6
13.09.2022 17:45:09;10.8
13.09.2022 18:45:09;10.0
13.09.2022 19:45:09;9.2
13.09.2022 20:45:09;8.6
13.09.2022 21:45:09;8.0
13.09.2022 22:45:09;7.6
13.09.2022 23:45:09;7.0
14.09.2022 00:45:09;6.6
14.09.2022 01:45:09;6.2
14.09.2022 02:45:09;5.8
14.09.2022 03:45:09;5.4
14.09.2022 04:45:09;5.8
14.09.2022 05:45:09;7.4
14.09.2022 06:45:09;9.2
14.09.2022 07:45:09;11.4
14.09.2022 08:45:09;13.2
14.09.2022 09:45:09;14.8
14.09.2022 10:45:09;15.8
14.09.2022 11:45:09;16.2
14.09.2022 12:45:09;16.0
14.09.2022 13:45:09;15.2
14.09.2022 14:45:09;14.0
14.09.2022 15:45:09;13.0
14.09.2022 16:45:09;11.8
14.09.2022 17:45:09;11.0
14.09.2022 18:45:09;10.2
14.09.2022 19:45:09;9.4
14.09.2022 20:45:09;8.8
14.09.2022 21:45:09;8.2
14.09.2022 22:45:09;7.6
14.09.2022 23:45:09;7.2
15.09.2022 00:45:09;6.6
15.09.2022 01:45:09;6.2
15.09.2022 02:45:09;5.8
15.09.2022 03:45:09;5.6
15.09.2022 04:45:09;6.0
15.09.2022 05:45:09;7.4
15.09.2022 06:45:09;9.2
15.09.2022 07:45:09;11.2
15.09.2022 08:45:09;13.0
15.09.2022 09:45:09;14.4
15.09.2022 10:45:09;15.4
15.09.2022 11:45:09;15.8
15.09.2022 12:45:09;15.6
15.09.2022 13:45:09;14.8
15.09.2022 14:45:09;13.6
15.09.2022 15:45:09;12.4
15.09.2022 16:45:09;11.4
15.09.2022 17:45:09;10.4
15.09.2022 18:45:09;9.6
15.09.2022 19:45:09;9.0
15.09.2022 20:45:09;8.2
15.09.2022 21:45:09;7.8
15.09.2022 22:45:09;7.2
15.09.2022 23:45:09;6.6
16.09.2022 00:45:09;6.2
16.09.2022 01:45:09;5.8
16.09.2022 02:45:09;5.4
16.09.2022 03:45:09;5.0
16.09.2022 04:45:09;5.4
16.09.2022 05:45:09;6.8
16.09.2022 06:45:09;8.6
16.09.2022 07:45:09;10.6
16.09.2022 08:45:09;12.6
16.09.2022 09:45:09;12.6
16.09.2022 10:45:09;12.6
16.09.2022 11:45:09;13.6
16.09.2022 12:45:09;14.0
16.09.2022 13:45:09;13.4
16.09.2022 14:45:09;12.4
16.09.2022 15:45:09;11.2
16.09.2022 16:45:09;10.4
16.09.2022 17:45:09;9.4
16.09.2022 18:45:09;8.8
16.09.2022 19:45:09;8.0
16.09.2022 20:45:09;7.6
16.09.2022 21:45:09;7.2
16.09.2022 22:45:09;6.8
16.09.2022 23:45:09;6.4
17.09.2022 00:45:09;5.8
17.09.2022 01:45:09;5.4
17.09.2022 02:45:09;5.0
17.09.2022 03:45:09;5.0
17.09.2022 04:45:09;5.4
17.09.2022 05:45:09;6.6
17.09.2022 06:45:09;8.4
17.09.2022 07:45:09;9.8
17.09.2022 08:45:09;10.0
17.09.2022 09:45:09;9.8
17.09.2022 10:45:09;11.0
17.09.2022 11:45:09;12.4
17.09.2022 12:45:09;13.2
17.09.2022 13:45:09;12.6
17.09.2022 14:45:09;11.8
17.09.2022 15:45:09;10.6
17.09.2022 16:45:09;9.8
17.09.2022 17:45:09;8.8
17.09.2022 18:45:09;8.2
17.09.2022 19:45:09;7.6
17.09.2022 20:45:09;7.0
17.09.2022 21:45:09;6.6
17.09.2022 22:45:09;6.0
17.09.2022 23:45:09;5.6
18.09.2022 00:45:09;5.2
18.09.2022 01:45:09;4.8
18.09.2022 02:45:09;4.4
18.09.2022 03:45:09;4.2
18.09.2022 04:45:09;4.6
18.09.2022 05:45:09;5.8
18.09.2022 06:45:09;7.8
18.09.2022 07:45:09;9.8
18.09.2022 08:45:09;11.6
18.09.2022 09:45:09;12.6
18.09.2022 10:45:09;13.0
18.09.2022 11:45:09;13.2
18.09.2022 12:45:09;12.8
18.09.2022 13:45:09;12.2
18.09.2022 14:45:09;11.4
18.09.2022 15:45:09;10.6
18.09.2022 16:45:09;9.6
18.09.2022 17:45:09;8.8
18.09.2022 18:45:09;8.0
18.09.2022 19:45:09;7.4
18.09.2022 20:45:09;7.0
18.09.2022 21:45:09;6.4
18.09.2022 22:45:09;5.8
18.09.2022 23:45:09;5.4
19.09.2022 00:45:09;5.0
19.09.2022 01:45:09;4.6
19.09.2022 02:45:09;4.2
19.09.2022 03:45:09;4.0
19.09.2022 04:45:09;4.4
19.09.2022 05:45:09;5.8
19.09.2022 06:45:09;7.6
19.09.2022 07:45:09;9.6
19.09.2022 08:45:09;11.4
19.09.2022 09:45:09;13.0
19.09.2022 10:45:09;14.0
19.09.2022 11:45:09;14.4
19.09.2022 12:45:09;14.4
19.09.2022 13:45:09;13.8
19.09.2022 14:45:09;12.4
19.09.2022 15:45:09;11.4
19.09.2022 16:45:09;10.4
19.09.2022 17:45:09;9.4
19.09.2022 18:45:09;8.6
19.09.2022 19:45:09;8.0
19.09.2022 20:45:09;7.4
19.09.2022 21:45:09;6.8
19.09.2022 22:45:09;6.4
19.09.2022 23:45:09;6.0
20.09.2022 00:45:09;5.6
20.09.2022 01:45:09;5.2
20.09.2022 02:45:09;5.0
20.09.2022 03:45:09;4.6
20.09.2022 04:45:09;5.0
20.09.2022 05:45:09;6.2
20.09.2022 06:45:09;7.6
20.09.2022 07:45:09;8.8
20.09.2022 08:45:09;11.0
20.09.2022 09:45:09;12.0
20.09.2022 10:45:09;12.6
20.09.2022 11:45:09;12.4
20.09.2022 12:45:09;12.6
20.09.2022 13:45:09;12.4
20.09.2022 14:45:09;11.6
20.09.2022 15:45:09;10.6
20.09.2022 16:45:09;9.8
20.09.2022 17:45:09;9.2
20.09.2022 18:45:09;8.4
20.09.2022 19:45:09;7.8
20.09.2022 20:45:09;7.2
20.09.2022 21:45:09;6.6
20.09.2022 22:45:09;6.2
20.09.2022 23:45:09;5.8
21.09.2022 00:45:09;5.4
21.09.2022 01:45:09;5.0
21.09.2022 02:45:09;4.6
21.09.2022 03:45:09;4.6
21.09.2022 04:45:09;4.8
21.09.2022 05:45:09;6.0
21.09.2022 06:45:09;7.2
21.09.2022 07:45:09;8.6
21.09.2022 08:45:09;9.6
21.09.2022 09:45:09;10.6
21.09.2022 10:45:09;11.6
21.09.2022 11:45:09;12.6
21.09.2022 12:45:09;12.6
21.09.2022 13:45:09;11.6
21.09.2022 14:45:09;10.6
21.09.2022 15:45:09;9.4
21.09.2022 16:45:09;8.4
21.09.2022 17:45:09;7.4
21.09.2022 18:45:09;6.8
21.09.2022 19:45:09;6.2
21.09.2022 20:45:09;5.6
21.09.2022 21:45:09;5.2
21.09.2022 22:45:09;4.8
21.09.2022 23:45:09;4.2
22.09.2022 00:45:09;4.0
22.09.2022 01:45:09;3.6
22.09.2022 02:45:09;3.2
22.09.2022 03:45:09;3.0
22.09.2022 04:45:09;3.2
22.09.2022 05:45:09;4.6
22.09.2022 06:45:09;6.4
22.09.2022 07:45:09;8.4
22.09.2022 08:45:09;10.4
22.09.2022 09:45:09;12.0
22.09.2022 10:45:09;13.0
22.09.2022 11:45:09;13.4
22.09.2022 12:45:09;13.4
22.09.2022 13:45:09;12.6
22.09.2022 14:45:09;11.4
22.09.2022 15:45:09;10.2
22.09.2022 16:45:09;9.2
22.09.2022 17:45:09;8.4
22.09.2022 18:45:09;7.8
22.09.2022 19:45:09;7.2
22.09.2022 20:45:09;6.4
22.09.2022 21:45:09;6.0
22.09.2022 22:45:09;5.4
22.09.2022 23:45:09;5.0
23.09.2022 00:45:09;4.6
23.09.2022 01:45:09;4.2
23.09.2022 02:45:09;3.8
23.09.2022 03:45:09;3.4
23.09.2022 04:45:09;3.6
23.09.2022 05:45:09;5.0
23.09.2022 06:45:09;6.8
23.09.2022 07:45:09;9.0
23.09.2022 08:45:09;10.8
23.09.2022 09:45:09;12.4
23.09.2022 10:45:09;13.4
23.09.2022 11:45:09;13.8
23.09.2022 12:45:09;13.4
23.09.2022 13:45:09;12.6
23.09.2022 14:45:09;11.4
23.09.2022 15:45:09;10.2
23.09.2022 16:45:09;9.4
23.09.2022 17:45:09;8.4
23.09.2022 18:45:09;7.8
23.09.2022 19:45:09;7.2
