88:6B:0F:4A:6E:EE    -    SLF-Logger BLE
SerialNr;2005-0086
Project;sangvor
Name;mih
Location;SLF
Longitude;71.37184
Latitude;38.733887
Altitude;4389.0

Logger State;Stopped
Battery Level;81

Start Time;23. 09. 2021  06:46:51
PC Readout Time;07. 09. 2022  09:26:35
Logger Readout Time;07. 09. 2022  09:26:17
Logger to PC Difference;0d 0h 0min 18sec
Interval;1 hour

Offset (already added)[°C];0
Accuracy;0.2°C (Low power usage)

Measurement Count;8379
23.09.2021 06:46:51;23.4
23.09.2021 07:46:51;9.2
23.09.2021 08:46:51;10.0
23.09.2021 09:46:51;9.6
23.09.2021 10:46:51;8.2
23.09.2021 11:46:51;7.0
23.09.2021 12:46:51;6.0
23.09.2021 13:46:51;5.2
23.09.2021 14:46:51;4.6
23.09.2021 15:46:51;4.0
23.09.2021 16:46:51;3.4
23.09.2021 17:46:51;3.0
23.09.2021 18:46:51;2.6
23.09.2021 19:46:51;2.2
23.09.2021 20:46:51;1.8
23.09.2021 21:46:51;1.6
23.09.2021 22:46:51;1.2
23.09.2021 23:46:51;1.0
24.09.2021 00:46:51;0.8
24.09.2021 01:46:51;0.6
24.09.2021 02:46:51;0.4
24.09.2021 03:46:51;0.2
24.09.2021 04:46:51;1.0
24.09.2021 05:46:51;3.4
24.09.2021 06:46:51;6.2
24.09.2021 07:46:51;8.4
24.09.2021 08:46:51;9.8
24.09.2021 09:46:51;9.4
24.09.2021 10:46:51;8.0
24.09.2021 11:46:51;6.8
24.09.2021 12:46:51;6.0
24.09.2021 13:46:51;5.2
24.09.2021 14:46:51;4.6
24.09.2021 15:46:51;4.0
24.09.2021 16:46:51;3.4
24.09.2021 17:46:51;3.0
24.09.2021 18:46:51;2.4
24.09.2021 19:46:51;2.2
24.09.2021 20:46:51;1.8
24.09.2021 21:46:51;1.4
24.09.2021 22:46:51;1.2
24.09.2021 23:46:51;1.0
25.09.2021 00:46:51;0.6
25.09.2021 01:46:51;0.6
25.09.2021 02:46:51;0.4
25.09.2021 03:46:51;0.2
25.09.2021 04:46:51;1.0
25.09.2021 05:46:51;3.4
25.09.2021 06:46:51;6.2
25.09.2021 07:46:51;8.6
25.09.2021 08:46:51;10.0
25.09.2021 09:46:51;9.4
25.09.2021 10:46:51;8.2
25.09.2021 11:46:51;7.0
25.09.2021 12:46:51;6.0
25.09.2021 13:46:51;5.2
25.09.2021 14:46:51;4.6
25.09.2021 15:46:51;4.0
25.09.2021 16:46:51;3.4
25.09.2021 17:46:51;3.0
25.09.2021 18:46:51;2.6
25.09.2021 19:46:51;2.2
25.09.2021 20:46:51;1.8
25.09.2021 21:46:51;1.6
25.09.2021 22:46:51;1.4
25.09.2021 23:46:51;1.0
26.09.2021 00:46:51;0.8
26.09.2021 01:46:51;0.8
26.09.2021 02:46:51;0.6
26.09.2021 03:46:51;0.4
26.09.2021 04:46:51;1.6
26.09.2021 05:46:51;4.0
26.09.2021 06:46:51;6.4
26.09.2021 07:46:51;8.6
26.09.2021 08:46:51;10.0
26.09.2021 09:46:51;9.6
26.09.2021 10:46:51;8.4
26.09.2021 11:46:51;7.2
26.09.2021 12:46:51;6.4
26.09.2021 13:46:51;5.6
26.09.2021 14:46:51;5.0
26.09.2021 15:46:51;4.4
26.09.2021 16:46:51;3.8
26.09.2021 17:46:51;3.4
26.09.2021 18:46:51;3.0
26.09.2021 19:46:51;2.6
26.09.2021 20:46:51;2.4
26.09.2021 21:46:51;2.0
26.09.2021 22:46:51;1.6
26.09.2021 23:46:51;1.4
27.09.2021 00:46:51;1.0
27.09.2021 01:46:51;0.6
27.09.2021 02:46:51;0.6
27.09.2021 03:46:51;0.4
27.09.2021 04:46:51;1.4
27.09.2021 05:46:51;3.8
27.09.2021 06:46:51;6.4
27.09.2021 07:46:51;8.8
27.09.2021 08:46:51;10.0
27.09.2021 09:46:51;9.6
27.09.2021 10:46:51;8.4
27.09.2021 11:46:51;7.2
27.09.2021 12:46:51;6.2
27.09.2021 13:46:51;5.4
27.09.2021 14:46:51;4.8
27.09.2021 15:46:51;4.2
27.09.2021 16:46:51;3.8
27.09.2021 17:46:51;3.2
27.09.2021 18:46:51;2.8
27.09.2021 19:46:51;2.4
27.09.2021 20:46:51;2.0
27.09.2021 21:46:51;1.6
27.09.2021 22:46:51;1.4
27.09.2021 23:46:51;1.2
28.09.2021 00:46:51;1.0
28.09.2021 01:46:51;0.8
28.09.2021 02:46:51;0.6
28.09.2021 03:46:51;0.4
28.09.2021 04:46:51;1.6
28.09.2021 05:46:51;4.0
28.09.2021 06:46:51;6.6
28.09.2021 07:46:51;8.6
28.09.2021 08:46:51;9.6
28.09.2021 09:46:51;9.2
28.09.2021 10:46:51;8.0
28.09.2021 11:46:51;7.0
28.09.2021 12:46:51;6.0
28.09.2021 13:46:51;5.4
28.09.2021 14:46:51;4.8
28.09.2021 15:46:51;4.2
28.09.2021 16:46:51;3.8
28.09.2021 17:46:51;3.4
28.09.2021 18:46:51;2.8
28.09.2021 19:46:51;2.4
28.09.2021 20:46:51;2.2
28.09.2021 21:46:51;1.8
28.09.2021 22:46:51;1.6
28.09.2021 23:46:51;1.2
29.09.2021 00:46:51;1.0
29.09.2021 01:46:51;1.0
29.09.2021 02:46:51;1.0
29.09.2021 03:46:51;1.0
29.09.2021 04:46:51;1.0
29.09.2021 05:46:51;1.4
29.09.2021 06:46:51;2.4
29.09.2021 07:46:51;4.6
29.09.2021 08:46:51;6.2
29.09.2021 09:46:51;6.2
29.09.2021 10:46:51;5.4
29.09.2021 11:46:51;4.8
29.09.2021 12:46:51;4.4
29.09.2021 13:46:51;4.0
29.09.2021 14:46:51;3.4
29.09.2021 15:46:51;3.0
29.09.2021 16:46:51;2.6
29.09.2021 17:46:51;2.2
29.09.2021 18:46:51;2.0
29.09.2021 19:46:51;1.8
29.09.2021 20:46:51;1.4
29.09.2021 21:46:51;1.2
29.09.2021 22:46:51;0.8
29.09.2021 23:46:51;0.6
30.09.2021 00:46:51;0.6
30.09.2021 01:46:51;0.4
30.09.2021 02:46:51;0.2
30.09.2021 03:46:51;0.2
30.09.2021 04:46:51;0.6
30.09.2021 05:46:51;1.4
30.09.2021 06:46:51;2.4
30.09.2021 07:46:51;4.4
30.09.2021 08:46:51;6.2
30.09.2021 09:46:51;6.0
30.09.2021 10:46:51;5.4
30.09.2021 11:46:51;5.0
30.09.2021 12:46:51;4.4
30.09.2021 13:46:51;4.0
30.09.2021 14:46:51;3.6
30.09.2021 15:46:51;3.2
30.09.2021 16:46:51;2.8
30.09.2021 17:46:51;2.4
30.09.2021 18:46:51;2.0
30.09.2021 19:46:51;1.8
30.09.2021 20:46:51;1.4
30.09.2021 21:46:51;1.2
30.09.2021 22:46:51;1.0
30.09.2021 23:46:51;0.8
01.10.2021 00:46:51;0.8
01.10.2021 01:46:51;0.8
01.10.2021 02:46:51;0.6
01.10.2021 03:46:51;0.6
01.10.2021 04:46:51;0.6
01.10.2021 05:46:51;0.8
01.10.2021 06:46:51;0.8
01.10.2021 07:46:51;0.8
01.10.2021 08:46:51;0.8
01.10.2021 09:46:51;1.0
01.10.2021 10:46:51;1.2
01.10.2021 11:46:51;1.0
01.10.2021 12:46:51;1.0
01.10.2021 13:46:51;0.8
01.10.2021 14:46:51;0.6
01.10.2021 15:46:51;0.4
01.10.2021 16:46:51;0.4
01.10.2021 17:46:51;0.2
01.10.2021 18:46:51;0.2
01.10.2021 19:46:51;0.2
01.10.2021 20:46:51;0.2
01.10.2021 21:46:51;0.0
01.10.2021 22:46:51;0.0
01.10.2021 23:46:51;0.0
02.10.2021 00:46:51;0.0
02.10.2021 01:46:51;0.0
02.10.2021 02:46:51;-0.2
02.10.2021 03:46:51;-0.2
02.10.2021 04:46:51;-0.2
02.10.2021 05:46:51;-0.2
02.10.2021 06:46:51;0.0
02.10.2021 07:46:51;0.0
02.10.2021 08:46:51;0.0
02.10.2021 09:46:51;0.0
02.10.2021 10:46:51;0.0
02.10.2021 11:46:51;0.0
02.10.2021 12:46:51;0.0
02.10.2021 13:46:51;0.0
02.10.2021 14:46:51;-0.2
02.10.2021 15:46:51;-0.2
02.10.2021 16:46:51;-0.2
02.10.2021 17:46:51;-0.2
02.10.2021 18:46:51;-0.2
02.10.2021 19:46:51;-0.2
02.10.2021 20:46:51;-0.4
02.10.2021 21:46:51;-0.4
02.10.2021 22:46:51;-0.4
02.10.2021 23:46:51;-0.6
03.10.2021 00:46:51;-0.6
03.10.2021 01:46:51;-0.6
03.10.2021 02:46:51;-0.8
03.10.2021 03:46:51;-0.8
03.10.2021 04:46:51;-0.6
03.10.2021 05:46:51;-0.4
03.10.2021 06:46:51;-0.2
03.10.2021 07:46:51;-0.2
03.10.2021 08:46:51;0.0
03.10.2021 09:46:51;0.0
03.10.2021 10:46:51;0.0
03.10.2021 11:46:51;0.0
03.10.2021 12:46:51;0.0
03.10.2021 13:46:51;-0.2
03.10.2021 14:46:51;-0.2
03.10.2021 15:46:51;-0.2
03.10.2021 16:46:51;-0.2
03.10.2021 17:46:51;-0.2
03.10.2021 18:46:51;-0.4
03.10.2021 19:46:51;-0.6
03.10.2021 20:46:51;-0.8
03.10.2021 21:46:51;-1.0
03.10.2021 22:46:51;-1.0
03.10.2021 23:46:51;-1.2
04.10.2021 00:46:51;-1.2
04.10.2021 01:46:51;-1.4
04.10.2021 02:46:51;-1.4
04.10.2021 03:46:51;-1.6
04.10.2021 04:46:51;-1.4
04.10.2021 05:46:51;-0.8
04.10.2021 06:46:51;-0.2
04.10.2021 07:46:51;0.0
04.10.2021 08:46:51;0.0
04.10.2021 09:46:51;0.0
04.10.2021 10:46:51;0.0
04.10.2021 11:46:51;-0.2
04.10.2021 12:46:51;-0.2
04.10.2021 13:46:51;-0.2
04.10.2021 14:46:51;-0.2
04.10.2021 15:46:51;-0.4
04.10.2021 16:46:51;-0.6
04.10.2021 17:46:51;-1.0
04.10.2021 18:46:51;-1.2
04.10.2021 19:46:51;-1.6
04.10.2021 20:46:51;-1.8
04.10.2021 21:46:51;-2.2
04.10.2021 22:46:51;-2.2
04.10.2021 23:46:51;-2.6
05.10.2021 00:46:51;-2.8
05.10.2021 01:46:51;-2.8
05.10.2021 02:46:51;-3.0
05.10.2021 03:46:51;-3.2
05.10.2021 04:46:51;-2.2
05.10.2021 05:46:51;-0.6
05.10.2021 06:46:51;0.4
05.10.2021 07:46:51;0.6
05.10.2021 08:46:51;1.2
05.10.2021 09:46:51;1.0
05.10.2021 10:46:51;0.8
05.10.2021 11:46:51;0.6
05.10.2021 12:46:51;0.2
05.10.2021 13:46:51;0.0
05.10.2021 14:46:51;0.0
05.10.2021 15:46:51;-0.2
05.10.2021 16:46:51;-0.2
05.10.2021 17:46:51;-0.2
05.10.2021 18:46:51;-0.2
05.10.2021 19:46:51;-0.2
05.10.2021 20:46:51;-0.2
05.10.2021 21:46:51;-0.4
05.10.2021 22:46:51;-0.4
05.10.2021 23:46:51;-0.6
06.10.2021 00:46:51;-0.8
06.10.2021 01:46:51;-1.0
06.10.2021 02:46:51;-1.2
06.10.2021 03:46:51;-1.4
06.10.2021 04:46:51;-1.6
06.10.2021 05:46:51;-1.6
06.10.2021 06:46:51;-1.6
06.10.2021 07:46:51;-1.6
06.10.2021 08:46:51;-1.6
06.10.2021 09:46:51;-1.4
06.10.2021 10:46:51;-1.4
06.10.2021 11:46:51;-1.4
06.10.2021 12:46:51;-1.4
06.10.2021 13:46:51;-1.4
06.10.2021 14:46:51;-1.6
06.10.2021 15:46:51;-1.6
06.10.2021 16:46:51;-1.8
06.10.2021 17:46:51;-1.8
06.10.2021 18:46:51;-1.8
06.10.2021 19:46:51;-2.0
06.10.2021 20:46:51;-2.0
06.10.2021 21:46:51;-2.0
06.10.2021 22:46:51;-2.0
06.10.2021 23:46:51;-2.0
07.10.2021 00:46:51;-2.0
07.10.2021 01:46:51;-2.0
07.10.2021 02:46:51;-2.2
07.10.2021 03:46:51;-2.2
07.10.2021 04:46:51;-2.2
07.10.2021 05:46:51;-2.2
07.10.2021 06:46:51;-2.2
07.10.2021 07:46:51;-2.2
07.10.2021 08:46:51;-2.0
07.10.2021 09:46:51;-2.0
07.10.2021 10:46:51;-1.8
07.10.2021 11:46:51;-1.8
07.10.2021 12:46:51;-1.6
07.10.2021 13:46:51;-1.6
07.10.2021 14:46:51;-1.6
07.10.2021 15:46:51;-1.6
07.10.2021 16:46:51;-1.8
07.10.2021 17:46:51;-1.8
07.10.2021 18:46:51;-1.8
07.10.2021 19:46:51;-2.0
07.10.2021 20:46:51;-2.0
07.10.2021 21:46:51;-2.0
07.10.2021 22:46:51;-2.2
07.10.2021 23:46:51;-2.2
08.10.2021 00:46:51;-2.2
08.10.2021 01:46:51;-2.2
08.10.2021 02:46:51;-2.4
08.10.2021 03:46:51;-2.4
08.10.2021 04:46:51;-2.4
08.10.2021 05:46:51;-2.2
08.10.2021 06:46:51;-1.8
08.10.2021 07:46:51;-1.4
08.10.2021 08:46:51;-1.2
08.10.2021 09:46:51;-1.0
08.10.2021 10:46:51;-0.8
08.10.2021 11:46:51;-0.8
08.10.2021 12:46:51;-0.8
08.10.2021 13:46:51;-0.8
08.10.2021 14:46:51;-1.0
08.10.2021 15:46:51;-1.2
08.10.2021 16:46:51;-1.2
08.10.2021 17:46:51;-1.4
08.10.2021 18:46:51;-1.6
08.10.2021 19:46:51;-1.8
08.10.2021 20:46:51;-2.0
08.10.2021 21:46:51;-2.2
08.10.2021 22:46:51;-2.4
08.10.2021 23:46:51;-2.6
09.10.2021 00:46:51;-2.8
09.10.2021 01:46:51;-3.0
09.10.2021 02:46:51;-3.2
09.10.2021 03:46:51;-3.4
09.10.2021 04:46:51;-3.0
09.10.2021 05:46:51;-2.2
09.10.2021 06:46:51;-1.4
09.10.2021 07:46:51;-0.6
