88:6B:0F:4A:6F:0C    -    SLF-Logger BLE
SerialNr;2005-0087
Project;sangvor
Name;mih
Location;SLF
Longitude;71.37157
Latitude;38.73379
Altitude;4410.0

Logger State;Stopped
Battery Level;81

Start Time;23. 09. 2021  07:16:12
PC Readout Time;18. 09. 2022  12:22:42
Logger Readout Time;18. 09. 2022  12:22:20
Logger to PC Difference;0d 0h 0min 22sec
Interval;1 hour

Offset (already added)[°C];0
Accuracy;0.2°C (Low power usage)

Measurement Count;8646
23.09.2021 07:16:12;24.0
23.09.2021 08:16:12;3.6
23.09.2021 09:16:12;4.2
23.09.2021 10:16:12;5.6
23.09.2021 11:16:12;8.2
23.09.2021 12:16:12;9.4
23.09.2021 13:16:12;10.6
23.09.2021 14:16:12;11.4
23.09.2021 15:16:12;11.6
23.09.2021 16:16:12;10.8
23.09.2021 17:16:12;9.8
23.09.2021 18:16:12;9.0
23.09.2021 19:16:12;8.2
23.09.2021 20:16:12;7.4
23.09.2021 21:16:12;6.8
23.09.2021 22:16:12;6.0
23.09.2021 23:16:12;5.4
24.09.2021 00:16:12;5.0
24.09.2021 01:16:12;4.4
24.09.2021 02:16:12;3.8
24.09.2021 03:16:12;3.6
24.09.2021 04:16:12;3.2
24.09.2021 05:16:12;3.0
24.09.2021 06:16:12;2.8
24.09.2021 07:16:12;3.0
24.09.2021 08:16:12;3.6
24.09.2021 09:16:12;4.4
24.09.2021 10:16:12;6.0
24.09.2021 11:16:12;8.0
24.09.2021 12:16:12;9.4
24.09.2021 13:16:12;10.8
24.09.2021 14:16:12;11.8
24.09.2021 15:16:12;12.0
24.09.2021 16:16:12;11.2
24.09.2021 17:16:12;10.2
24.09.2021 18:16:12;9.2
24.09.2021 19:16:12;8.6
24.09.2021 20:16:12;7.8
24.09.2021 21:16:12;7.0
24.09.2021 22:16:12;6.4
24.09.2021 23:16:12;5.8
25.09.2021 00:16:12;5.2
25.09.2021 01:16:12;4.8
25.09.2021 02:16:12;4.2
25.09.2021 03:16:12;3.8
25.09.2021 04:16:12;3.6
25.09.2021 05:16:12;3.4
25.09.2021 06:16:12;3.2
25.09.2021 07:16:12;3.2
25.09.2021 08:16:12;3.6
25.09.2021 09:16:12;4.6
25.09.2021 10:16:12;6.0
25.09.2021 11:16:12;8.4
25.09.2021 12:16:12;9.8
25.09.2021 13:16:12;11.4
25.09.2021 14:16:12;12.4
25.09.2021 15:16:12;12.8
25.09.2021 16:16:12;12.0
25.09.2021 17:16:12;11.0
25.09.2021 18:16:12;10.0
25.09.2021 19:16:12;9.2
25.09.2021 20:16:12;8.4
25.09.2021 21:16:12;7.6
25.09.2021 22:16:12;7.0
25.09.2021 23:16:12;6.4
26.09.2021 00:16:12;5.8
26.09.2021 01:16:12;5.4
26.09.2021 02:16:12;4.8
26.09.2021 03:16:12;4.4
26.09.2021 04:16:12;4.0
26.09.2021 05:16:12;4.0
26.09.2021 06:16:12;3.8
26.09.2021 07:16:12;3.8
26.09.2021 08:16:12;4.2
26.09.2021 09:16:12;5.2
26.09.2021 10:16:12;6.6
26.09.2021 11:16:12;9.0
26.09.2021 12:16:12;10.4
26.09.2021 13:16:12;12.2
26.09.2021 14:16:12;13.4
26.09.2021 15:16:12;13.6
26.09.2021 16:16:12;13.0
26.09.2021 17:16:12;12.0
26.09.2021 18:16:12;11.0
26.09.2021 19:16:12;10.0
26.09.2021 20:16:12;9.2
26.09.2021 21:16:12;8.6
26.09.2021 22:16:12;8.0
26.09.2021 23:16:12;7.4
27.09.2021 00:16:12;6.8
27.09.2021 01:16:12;6.2
27.09.2021 02:16:12;5.4
27.09.2021 03:16:12;5.0
27.09.2021 04:16:12;4.6
27.09.2021 05:16:12;4.4
27.09.2021 06:16:12;4.0
27.09.2021 07:16:12;4.0
27.09.2021 08:16:12;4.4
27.09.2021 09:16:12;5.2
27.09.2021 10:16:12;6.6
27.09.2021 11:16:12;9.0
27.09.2021 12:16:12;10.2
27.09.2021 13:16:12;11.4
27.09.2021 14:16:12;12.2
27.09.2021 15:16:12;12.2
27.09.2021 16:16:12;11.6
27.09.2021 17:16:12;10.6
27.09.2021 18:16:12;9.6
27.09.2021 19:16:12;8.8
27.09.2021 20:16:12;8.0
27.09.2021 21:16:12;7.2
27.09.2021 22:16:12;6.6
27.09.2021 23:16:12;6.2
28.09.2021 00:16:12;5.6
28.09.2021 01:16:12;5.0
28.09.2021 02:16:12;4.6
28.09.2021 03:16:12;4.2
28.09.2021 04:16:12;4.0
28.09.2021 05:16:12;3.8
28.09.2021 06:16:12;3.6
28.09.2021 07:16:12;3.8
28.09.2021 08:16:12;4.0
28.09.2021 09:16:12;5.2
28.09.2021 10:16:12;6.6
28.09.2021 11:16:12;8.6
28.09.2021 12:16:12;10.0
28.09.2021 13:16:12;11.4
28.09.2021 14:16:12;12.0
28.09.2021 15:16:12;11.8
28.09.2021 16:16:12;11.2
28.09.2021 17:16:12;10.4
28.09.2021 18:16:12;9.4
28.09.2021 19:16:12;8.6
28.09.2021 20:16:12;8.0
28.09.2021 21:16:12;7.4
28.09.2021 22:16:12;6.8
28.09.2021 23:16:12;6.4
29.09.2021 00:16:12;6.0
29.09.2021 01:16:12;5.6
29.09.2021 02:16:12;5.4
29.09.2021 03:16:12;5.0
29.09.2021 04:16:12;5.0
29.09.2021 05:16:12;4.8
29.09.2021 06:16:12;4.8
29.09.2021 07:16:12;5.0
29.09.2021 08:16:12;5.2
29.09.2021 09:16:12;6.0
29.09.2021 10:16:12;7.2
29.09.2021 11:16:12;9.0
29.09.2021 12:16:12;10.2
29.09.2021 13:16:12;11.2
29.09.2021 14:16:12;11.4
29.09.2021 15:16:12;11.4
29.09.2021 16:16:12;10.4
29.09.2021 17:16:12;9.6
29.09.2021 18:16:12;8.8
29.09.2021 19:16:12;8.0
29.09.2021 20:16:12;7.4
29.09.2021 21:16:12;6.8
29.09.2021 22:16:12;6.2
29.09.2021 23:16:12;5.6
30.09.2021 00:16:12;5.2
30.09.2021 01:16:12;4.8
30.09.2021 02:16:12;4.4
30.09.2021 03:16:12;4.2
30.09.2021 04:16:12;4.0
30.09.2021 05:16:12;4.0
30.09.2021 06:16:12;4.2
30.09.2021 07:16:12;4.4
30.09.2021 08:16:12;4.8
30.09.2021 09:16:12;5.6
30.09.2021 10:16:12;7.2
30.09.2021 11:16:12;9.2
30.09.2021 12:16:12;10.4
30.09.2021 13:16:12;11.6
30.09.2021 14:16:12;12.0
30.09.2021 15:16:12;12.0
30.09.2021 16:16:12;11.0
30.09.2021 17:16:12;10.2
30.09.2021 18:16:12;9.4
30.09.2021 19:16:12;8.6
30.09.2021 20:16:12;8.0
30.09.2021 21:16:12;7.4
30.09.2021 22:16:12;6.8
30.09.2021 23:16:12;6.4
01.10.2021 00:16:12;6.0
01.10.2021 01:16:12;5.8
01.10.2021 02:16:12;5.6
01.10.2021 03:16:12;5.2
01.10.2021 04:16:12;5.0
01.10.2021 05:16:12;5.0
01.10.2021 06:16:12;5.0
01.10.2021 07:16:12;5.2
01.10.2021 08:16:12;5.2
01.10.2021 09:16:12;5.4
01.10.2021 10:16:12;5.0
01.10.2021 11:16:12;5.4
01.10.2021 12:16:12;4.8
01.10.2021 13:16:12;5.2
01.10.2021 14:16:12;5.0
01.10.2021 15:16:12;4.2
01.10.2021 16:16:12;4.2
01.10.2021 17:16:12;3.8
01.10.2021 18:16:12;3.6
01.10.2021 19:16:12;3.2
01.10.2021 20:16:12;3.0
01.10.2021 21:16:12;2.8
01.10.2021 22:16:12;2.6
01.10.2021 23:16:12;1.0
02.10.2021 00:16:12;1.8
02.10.2021 01:16:12;2.0
02.10.2021 02:16:12;0.8
02.10.2021 03:16:12;0.6
02.10.2021 04:16:12;0.8
02.10.2021 05:16:12;1.4
02.10.2021 06:16:12;1.6
02.10.2021 07:16:12;1.6
02.10.2021 08:16:12;1.4
02.10.2021 09:16:12;1.4
02.10.2021 10:16:12;1.2
02.10.2021 11:16:12;1.2
02.10.2021 12:16:12;1.4
02.10.2021 13:16:12;1.4
02.10.2021 14:16:12;0.4
02.10.2021 15:16:12;0.8
02.10.2021 16:16:12;0.8
02.10.2021 17:16:12;0.8
02.10.2021 18:16:12;0.6
02.10.2021 19:16:12;0.2
02.10.2021 20:16:12;0.2
02.10.2021 21:16:12;0.2
02.10.2021 22:16:12;0.2
02.10.2021 23:16:12;0.0
03.10.2021 00:16:12;0.0
03.10.2021 01:16:12;-0.2
03.10.2021 02:16:12;-0.2
03.10.2021 03:16:12;-0.2
03.10.2021 04:16:12;-0.2
03.10.2021 05:16:12;0.0
03.10.2021 06:16:12;-0.2
03.10.2021 07:16:12;0.2
03.10.2021 08:16:12;0.4
03.10.2021 09:16:12;0.6
03.10.2021 10:16:12;1.2
03.10.2021 11:16:12;1.6
03.10.2021 12:16:12;1.8
03.10.2021 13:16:12;2.2
03.10.2021 14:16:12;2.2
03.10.2021 15:16:12;1.6
03.10.2021 16:16:12;1.4
03.10.2021 17:16:12;0.8
03.10.2021 18:16:12;0.6
03.10.2021 19:16:12;0.0
03.10.2021 20:16:12;-0.4
03.10.2021 21:16:12;-0.4
03.10.2021 22:16:12;-0.6
03.10.2021 23:16:12;-0.4
04.10.2021 00:16:12;-0.4
04.10.2021 01:16:12;-0.6
04.10.2021 02:16:12;-0.6
04.10.2021 03:16:12;-0.6
04.10.2021 04:16:12;-0.8
04.10.2021 05:16:12;-0.6
04.10.2021 06:16:12;-0.6
04.10.2021 07:16:12;-0.4
04.10.2021 08:16:12;-0.4
04.10.2021 09:16:12;-0.2
04.10.2021 10:16:12;0.2
04.10.2021 11:16:12;1.6
04.10.2021 12:16:12;3.2
04.10.2021 13:16:12;4.8
04.10.2021 14:16:12;5.8
04.10.2021 15:16:12;5.6
04.10.2021 16:16:12;4.8
04.10.2021 17:16:12;3.8
04.10.2021 18:16:12;3.2
04.10.2021 19:16:12;2.4
04.10.2021 20:16:12;1.8
04.10.2021 21:16:12;1.4
04.10.2021 22:16:12;1.0
04.10.2021 23:16:12;0.6
05.10.2021 00:16:12;0.2
05.10.2021 01:16:12;-0.2
05.10.2021 02:16:12;-0.4
05.10.2021 03:16:12;-0.6
05.10.2021 04:16:12;-0.6
05.10.2021 05:16:12;-0.6
05.10.2021 06:16:12;-0.6
05.10.2021 07:16:12;-0.6
05.10.2021 08:16:12;-0.2
05.10.2021 09:16:12;0.4
05.10.2021 10:16:12;1.2
05.10.2021 11:16:12;2.2
05.10.2021 12:16:12;3.6
05.10.2021 13:16:12;4.4
05.10.2021 14:16:12;4.6
05.10.2021 15:16:12;4.2
05.10.2021 16:16:12;3.8
05.10.2021 17:16:12;3.0
05.10.2021 18:16:12;2.6
05.10.2021 19:16:12;2.2
05.10.2021 20:16:12;1.8
05.10.2021 21:16:12;1.0
05.10.2021 22:16:12;1.2
05.10.2021 23:16:12;0.8
06.10.2021 00:16:12;0.8
06.10.2021 01:16:12;0.6
06.10.2021 02:16:12;0.2
06.10.2021 03:16:12;-0.4
06.10.2021 04:16:12;0.0
06.10.2021 05:16:12;0.2
06.10.2021 06:16:12;-0.2
06.10.2021 07:16:12;0.2
06.10.2021 08:16:12;0.4
06.10.2021 09:16:12;0.0
06.10.2021 10:16:12;0.2
06.10.2021 11:16:12;0.2
06.10.2021 12:16:12;0.4
06.10.2021 13:16:12;0.6
06.10.2021 14:16:12;0.2
06.10.2021 15:16:12;0.2
06.10.2021 16:16:12;0.2
06.10.2021 17:16:12;0.0
06.10.2021 18:16:12;0.0
06.10.2021 19:16:12;-0.2
06.10.2021 20:16:12;-0.2
06.10.2021 21:16:12;-0.4
06.10.2021 22:16:12;-0.2
06.10.2021 23:16:12;-0.4
07.10.2021 00:16:12;-0.4
07.10.2021 01:16:12;-0.4
07.10.2021 02:16:12;-0.2
07.10.2021 03:16:12;-0.2
07.10.2021 04:16:12;-0.2
07.10.2021 05:16:12;-0.2
07.10.2021 06:16:12;-0.2
07.10.2021 07:16:12;-0.2
07.10.2021 08:16:12;-0.2
07.10.2021 09:16:12;0.0
07.10.2021 10:16:12;0.0
07.10.2021 11:16:12;0.0
07.10.2021 12:16:12;0.2
07.10.2021 13:16:12;0.2
07.10.2021 14:16:12;0.2
07.10.2021 15:16:12;0.2
07.10.2021 16:16:12;0.0
07.10.2021 17:16:12;0.0
07.10.2021 18:16:12;-0.2
07.10.2021 19:16:12;-0.2
07.10.2021 20:16:12;-0.2
07.10.2021 21:16:12;-0.4
07.10.2021 22:16:12;-0.4
07.10.2021 23:16:12;-0.6
08.10.2021 00:16:12;-0.6
08.10.2021 01:16:12;-0.6
08.10.2021 02:16:12;-0.6
08.10.2021 03:16:12;-0.8
08.10.2021 04:16:12;-0.8
08.10.2021 05:16:12;-0.6
08.10.2021 06:16:12;-0.6
08.10.2021 07:16:12;-0.4
08.10.2021 08:16:12;-0.2
08.10.2021 09:16:12;-0.2
08.10.2021 10:16:12;0.0
08.10.2021 11:16:12;0.2
08.10.2021 12:16:12;0.6
08.10.2021 13:16:12;0.8
08.10.2021 14:16:12;0.6
08.10.2021 15:16:12;0.6
08.10.2021 16:16:12;0.2
08.10.2021 17:16:12;0.2
08.10.2021 18:16:12;0.0
08.10.2021 19:16:12;-0.2
08.10.2021 20:16:12;-0.4
08.10.2021 21:16:12;-0.4
08.10.2021 22:16:12;-0.6
08.10.2021 23:16:12;-0.8
09.10.2021 00:16:12;-1.0
09.10.2021 01:16:12;-1.0
09.10.2021 02:16:12;-1.2
09.10.2021 03:16:12;-1.6
09.10.2021 04:16:12;-1.8
09.10.2021 05:16:12;-1.8
09.10.2021 06:16:12;-1.8
09.10.2021 07:16:12;-1.6
09.10.2021 08:16:12;-1.2
09.10.2021 09:16:12;-0.4
09.10.2021 10:16:12;0.2
09.10.2021 11:16:12;1.2
09.10.2021 12:16:12;1.8
